"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2012 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,842","13.8%","31.4%","51.0%","3.7%","133,433","3.4%","7.3%","28.4%","23.7%","8.0%","19.1%","10.0%","89.2%","29.1%","22,639","80.4%","19.3%","22,547","91.0%","30.8%","54,412","91.7%","32.3%","33,835","90.1%","29.4%","","29.8%","11.7%","10.2%","3.0%","","31,467","12,811","26,165","31,350","45,373","52,448","","3.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,166","15.6%","39.4%","40.8%","4.2%","64,611","4.4%","8.3%","29.8%","21.9%","6.4%","20.1%","9.1%","87.3%","29.2%","11,631","71.4%","15.3%","11,330","88.6%","26.0%","25,701","91.4%","31.6%","15,949","91.4%","37.8%","","21.0%","11.4%","7.5%","3.1%","","36,582","14,586","30,942","41,599","61,601","64,199","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,676","12.2%","23.9%","60.5%","3.3%","68,822","2.6%","6.4%","27.0%","25.4%","9.5%","18.2%","10.8%","91.0%","29.1%","11,008","89.9%","23.6%","11,217","93.4%","35.8%","28,711","91.9%","33.0%","17,886","88.9%","22.0%","","40.9%","12.1%","12.4%","2.8%","","26,166","7,934","17,358","24,420","39,271","50,404","","(X)"
"Davenport-Moline-Rock Island, IA-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,534","13.8%","25.7%","51.9%","8.6%","258,586","2.9%","5.6%","30.5%","24.0%","11.8%","16.2%","8.9%","91.4%","25.1%","46,245","92.9%","30.5%","46,145","93.1%","30.4%","105,629","92.8%","24.6%","60,567","86.6%","18.0%","","21.5%","11.2%","8.0%","3.5%","","35,985","19,928","28,905","34,300","46,497","66,016","","3.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,063","17.6%","30.3%","45.6%","6.5%","124,966","2.8%","6.1%","29.9%","24.0%","12.1%","16.0%","9.1%","91.1%","25.0%","22,933","91.9%","25.9%","23,209","93.5%","27.4%","52,055","91.6%","25.2%","26,769","87.4%","21.8%","","18.4%","9.6%","6.1%","3.9%","","46,256","24,501","36,624","46,237","61,163","81,474","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,471","9.9%","21.3%","58.1%","10.7%","133,620","3.1%","5.2%","31.0%","23.9%","11.6%","16.5%","8.7%","91.7%","25.2%","23,312","93.9%","34.9%","22,936","92.7%","33.4%","53,574","94.0%","24.0%","33,798","86.0%","14.9%","","24.5%","12.6%","9.8%","3.2%","","27,240","14,647","21,549","26,674","35,228","52,013","","(X)"
"Dayton, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","87,008","15.4%","23.9%","52.7%","8.0%","566,720","3.0%","8.1%","30.2%","24.1%","8.7%","15.4%","10.6%","89.0%","26.1%","105,617","90.2%","28.2%","97,593","91.1%","28.4%","230,902","91.4%","26.3%","132,608","82.1%","22.1%","","26.4%","14.4%","12.7%","3.9%","","32,314","18,347","26,156","30,746","46,462","69,590","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,265","19.1%","26.1%","46.6%","8.1%","268,532","3.3%","8.0%","29.9%","23.8%","7.0%","16.1%","11.8%","88.7%","27.9%","52,909","90.2%","27.0%","47,979","89.5%","27.5%","111,237","91.0%","28.5%","56,407","82.0%","27.8%","","23.6%","13.9%","9.3%","4.2%","","39,693","22,068","31,296","37,061","53,479","84,645","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","43,743","11.7%","21.7%","58.8%","7.8%","298,188","2.7%","8.1%","30.4%","24.2%","10.2%","14.9%","9.5%","89.2%","24.4%","52,708","90.2%","29.5%","49,614","92.7%","29.3%","119,665","91.8%","24.3%","76,201","82.2%","17.9%","","29.0%","14.9%","15.4%","3.6%","","27,038","15,377","21,155","25,778","38,091","58,273","","(X)"
"Decatur, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,883","15.6%","31.2%","47.8%","5.3%","104,288","6.9%","11.6%","33.0%","22.7%","6.3%","13.2%","6.4%","81.6%","19.6%","17,532","83.8%","19.8%","20,678","81.6%","21.0%","43,409","84.4%","21.4%","22,669","74.3%","14.6%","","29.7%","11.9%","12.5%","6.2%","","30,774","19,143","27,078","28,957","46,892","51,384","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,216","20.3%","37.2%","38.3%","4.3%","50,209","7.0%","10.9%","35.5%","18.2%","5.1%","16.3%","6.9%","82.0%","23.2%","9,003","84.2%","24.9%","10,181","80.0%","17.9%","20,896","84.0%","26.8%","10,129","78.1%","19.4%","","22.4%","7.5%","7.8%","9.9%","","40,405","25,381","36,882","41,202","61,875","80,301","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,667","10.6%","24.8%","58.2%","6.5%","54,079","6.7%","12.1%","30.6%","26.9%","7.4%","10.4%","5.9%","81.1%","16.3%","8,529","83.5%","14.3%","10,497","83.1%","24.1%","22,513","84.8%","16.5%","12,540","71.3%","10.7%","","36.0%","16.6%","15.5%","1.2%","","22,173","12,072","19,311","21,809","40,160","41,170","","(X)"
"Decatur, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,978","12.9%","34.9%","47.1%","5.2%","75,411","3.1%","7.4%","34.3%","24.2%","7.7%","14.4%","8.9%","89.5%","23.3%","12,992","93.0%","31.9%","13,214","87.3%","20.0%","30,619","90.2%","25.0%","18,586","87.6%","16.9%","","45.1%","16.0%","14.9%","3.3%","","31,387","13,763","28,312","29,052","42,623","59,635","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,573","14.2%","44.1%","39.5%","2.3%","35,517","2.7%","7.8%","36.9%","22.0%","6.2%","14.7%","9.6%","89.5%","24.3%","6,245","93.0%","28.7%","6,437","87.5%","18.0%","14,852","88.4%","25.4%","7,983","90.2%","24.1%","","45.6%","13.9%","7.5%","3.0%","","40,262","12,447","36,064","37,147","51,237","71,750","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,405","11.7%","27.1%","53.6%","7.6%","39,894","3.4%","7.1%","32.0%","26.2%","8.9%","14.1%","8.3%","89.6%","22.4%","6,747","93.1%","34.8%","6,777","87.1%","21.8%","15,767","91.8%","24.6%","10,603","85.6%","11.5%","","44.6%","18.3%","20.3%","3.7%","","25,404","14,588","21,433","22,518","36,620","42,472","","(X)"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,433","17.5%","27.5%","48.1%","6.9%","360,335","3.2%","8.6%","34.9%","22.6%","9.6%","13.6%","7.4%","88.2%","21.0%","51,737","90.4%","20.3%","53,302","89.7%","20.8%","145,043","90.6%","19.4%","110,253","83.3%","23.6%","","26.7%","17.2%","14.5%","6.3%","","28,056","19,966","23,570","27,983","39,241","50,613","","8.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,936","21.3%","31.3%","42.1%","5.4%","171,716","3.5%","9.2%","34.5%","22.1%","8.8%","14.3%","7.7%","87.3%","22.0%","26,443","88.3%","17.1%","26,528","89.3%","19.5%","69,238","89.4%","20.0%","49,507","82.9%","28.7%","","23.2%","16.3%","12.0%","4.4%","","31,505","21,463","26,633","31,754","41,763","62,050","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,497","13.3%","23.3%","54.7%","8.7%","188,619","2.9%","8.1%","35.3%","23.1%","10.4%","13.0%","7.2%","89.0%","20.2%","25,294","92.5%","23.8%","26,774","90.1%","22.2%","75,805","91.7%","18.9%","60,746","83.7%","19.4%","","30.1%","17.9%","16.6%","8.1%","","25,713","17,042","21,217","25,038","36,375","45,286","","(X)"
"Denver-Aurora-Broomfield, CO Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","223,981","17.2%","28.0%","42.4%","12.4%","1,776,101","4.5%","5.7%","20.5%","21.8%","7.7%","25.7%","14.2%","89.9%","39.9%","412,482","89.7%","42.2%","386,022","89.5%","42.0%","690,970","90.9%","39.7%","286,627","88.2%","34.0%","","28.4%","12.9%","9.2%","4.2%","","40,244","21,193","30,559","35,745","51,503","65,727","","4.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","113,994","19.6%","30.5%","39.7%","10.2%","873,063","4.7%","5.9%","20.9%","21.0%","7.0%","26.3%","14.2%","89.3%","40.5%","209,789","88.9%","38.3%","196,662","88.4%","39.4%","340,632","90.1%","41.5%","125,980","89.5%","43.1%","","24.8%","12.3%","9.0%","3.6%","","45,680","23,272","33,333","41,350","61,654","83,547","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","109,987","14.8%","25.4%","45.1%","14.7%","903,038","4.2%","5.4%","20.1%","22.6%","8.5%","25.1%","14.2%","90.4%","39.3%","202,693","90.4%","46.3%","189,360","90.6%","44.6%","350,338","91.7%","38.0%","160,647","87.1%","26.8%","","32.2%","13.5%","9.3%","4.8%","","34,974","16,250","26,127","31,279","43,143","53,383","","(X)"
"Des Moines-West Des Moines, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","50,751","14.6%","24.8%","45.0%","15.6%","385,588","2.6%","4.2%","25.7%","21.9%","10.5%","25.1%","9.9%","93.2%","35.0%","89,268","94.7%","39.7%","81,058","92.9%","40.8%","147,098","93.9%","33.0%","68,164","90.0%","26.4%","","21.8%","11.9%","10.5%","2.8%","","40,056","21,204","28,927","36,307","51,063","65,532","","5.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,889","18.6%","29.6%","36.9%","14.9%","186,251","3.1%","4.6%","26.0%","21.8%","9.4%","25.3%","9.8%","92.3%","35.1%","44,231","93.5%","34.4%","41,006","91.2%","39.1%","71,924","92.9%","32.7%","29,090","90.1%","36.6%","","23.6%","9.2%","9.3%","2.4%","","45,110","22,057","34,049","42,222","61,537","83,893","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,862","10.7%","20.1%","52.9%","16.3%","199,337","2.2%","3.7%","25.5%","22.0%","11.6%","24.9%","10.1%","94.1%","35.0%","45,037","95.8%","45.0%","40,052","94.7%","42.7%","75,174","94.9%","33.3%","39,074","89.9%","18.9%","","19.4%","14.4%","11.5%","3.3%","","35,100","17,467","22,704","31,430","42,910","57,679","","(X)"
"Detroit-Warren-Livonia, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","384,822","15.6%","29.7%","45.8%","8.9%","2,901,654","3.5%","8.2%","27.9%","23.7%","8.3%","17.2%","11.1%","88.3%","28.2%","513,070","89.4%","31.4%","563,477","90.9%","33.2%","1,227,119","90.2%","28.2%","597,988","80.8%","20.9%","","31.6%","16.8%","12.3%","4.3%","","36,430","18,256","25,893","32,262","51,548","71,162","","4.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","194,857","18.3%","32.1%","42.8%","6.7%","1,371,353","3.6%","8.5%","28.0%","23.5%","7.4%","17.4%","11.6%","87.9%","29.0%","251,011","88.5%","27.9%","273,902","89.5%","31.0%","593,560","89.5%","29.3%","252,880","81.8%","27.2%","","26.9%","16.4%","9.6%","4.0%","","45,785","22,189","31,419","42,126","68,177","86,356","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","189,965","12.9%","27.1%","48.9%","11.1%","1,530,301","3.5%","7.9%","27.9%","23.9%","9.2%","17.0%","10.6%","88.6%","27.6%","262,059","90.3%","34.7%","289,575","92.1%","35.3%","633,559","90.9%","27.2%","345,108","80.1%","16.3%","","36.0%","17.1%","14.6%","4.6%","","29,777","12,940","20,720","26,058","40,896","60,480","","(X)"
"Dothan, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,830","18.0%","36.3%","39.7%","6.1%","100,967","6.5%","11.7%","35.6%","20.2%","7.1%","12.6%","6.3%","81.8%","18.9%","17,965","85.4%","25.5%","18,413","87.0%","22.5%","40,187","84.1%","17.8%","24,402","71.6%","13.0%","","28.4%","20.0%","10.3%","3.9%","","29,215","15,885","24,505","30,150","50,155","53,594","","5.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,912","22.0%","37.7%","36.2%","4.2%","47,126","7.5%","13.4%","35.9%","18.6%","6.1%","13.0%","5.5%","79.1%","18.5%","8,557","81.5%","17.6%","8,919","84.0%","17.1%","19,130","80.8%","20.4%","10,520","70.1%","17.0%","","20.1%","16.1%","6.9%","2.3%","","36,270","18,428","31,521","37,952","67,792","64,318","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,918","13.9%","34.9%","43.3%","7.9%","53,841","5.6%","10.2%","35.3%","21.7%","7.9%","12.3%","7.0%","84.2%","19.2%","9,408","88.9%","32.7%","9,494","89.7%","27.5%","21,057","87.1%","15.5%","13,882","72.7%","9.9%","","37.9%","23.4%","12.8%","5.3%","","22,495","11,714","18,874","22,273","35,420","51,538","","(X)"
"Dover, DE Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","18,219","16.5%","30.3%","45.8%","7.4%","109,122","4.6%","9.6%","33.5%","20.9%","9.1%","14.4%","7.9%","85.8%","22.3%","20,487","87.6%","19.8%","20,889","93.9%","28.4%","43,231","84.3%","20.4%","24,515","80.1%","22.7%","","20.0%","7.4%","9.4%","3.5%","","36,305","29,439","25,333","40,388","42,085","60,212","","3.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,229","22.6%","35.5%","37.3%","4.5%","51,015","6.1%","9.6%","36.0%","20.6%","8.9%","12.3%","6.5%","84.2%","18.8%","10,006","80.4%","9.8%","9,156","93.8%","23.1%","20,993","83.0%","17.1%","10,860","82.2%","26.8%","","15.7%","6.3%","5.7%","2.1%","","45,547","34,237","34,720","50,037","51,809","70,699","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,990","10.2%","24.8%","54.6%","10.4%","58,107","3.3%","9.5%","31.4%","21.1%","9.3%","16.2%","9.2%","87.2%","25.4%","10,481","94.4%","29.3%","11,733","93.9%","32.5%","22,238","85.6%","23.5%","13,655","78.4%","19.3%","","24.6%","8.6%","12.7%","4.5%","","29,740","23,352","21,055","32,915","39,953","55,511","","(X)"
"DuBois, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,528","18.6%","39.0%","34.4%","8.0%","58,603","3.5%","8.5%","52.1%","14.2%","8.4%","8.8%","4.4%","87.9%","13.2%","9,451","90.2%","21.5%","10,269","90.5%","10.8%","24,079","92.5%","12.6%","14,804","77.2%","10.6%","","28.3%","9.3%","7.3%","2.4%","","26,875","15,876","25,540","30,535","38,899","44,550","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,544","23.8%","43.2%","30.2%","2.8%","29,867","4.1%","9.1%","51.1%","15.6%","9.4%","7.4%","3.3%","86.8%","10.7%","5,303","88.1%","11.6%","5,465","87.0%","9.4%","12,611","90.6%","9.5%","6,488","77.9%","13.4%","","18.3%","9.2%","6.1%","3.2%","","32,495","17,456","31,499","34,038","51,101","47,545","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,984","12.4%","34.0%","39.4%","14.2%","28,736","3.0%","7.9%","53.2%","12.7%","7.4%","10.3%","5.5%","89.2%","15.8%","4,148","92.9%","34.1%","4,804","94.5%","12.4%","11,468","94.6%","16.0%","8,316","76.7%","8.5%","","37.9%","9.3%","8.7%","1.9%","","21,304","8,917","20,477","23,756","21,262","44,517","","(X)"
"Dubuque, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,903","8.7%","32.0%","47.5%","11.8%","63,011","3.5%","3.9%","35.2%","18.9%","9.5%","20.1%","9.0%","92.6%","29.1%","11,786","98.0%","42.1%","10,844","95.7%","35.1%","25,710","95.5%","27.6%","14,671","81.0%","16.6%","","25.4%","7.2%","12.9%","6.0%","","32,896","21,284","26,673","32,215","41,880","51,160","","2.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,848","5.4%","38.7%","50.3%","5.6%","30,771","3.0%","4.7%","37.4%","19.0%","7.9%","20.2%","7.8%","92.3%","28.0%","6,197","97.7%","38.9%","5,708","92.4%","34.5%","12,615","94.7%","25.7%","6,251","82.3%","15.9%","","21.8%","5.1%","3.7%","5.0%","","40,248","25,335","35,140","39,648","47,742","60,905","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,055","11.8%","25.6%","44.8%","17.8%","32,240","3.9%","3.2%","33.1%","18.7%","11.0%","20.0%","10.1%","92.9%","30.1%","5,589","98.4%","45.8%","5,136","99.5%","35.8%","13,095","96.3%","29.4%","8,420","80.0%","17.2%","","30.0%","9.3%","20.8%","6.8%","","26,424","9,680","20,630","26,367","34,771","47,318","","(X)"
"Duluth, MN-WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,379","7.6%","23.9%","59.3%","9.2%","190,952","1.5%","4.8%","31.5%","25.2%","11.8%","17.2%","8.0%","93.7%","25.2%","34,276","93.9%","26.7%","30,328","97.8%","27.8%","81,409","96.1%","25.1%","44,939","86.7%","22.5%","","25.3%","13.1%","13.0%","5.6%","","31,670","15,227","26,314","29,789","40,606","57,825","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,209","9.1%","25.2%","56.9%","8.8%","94,995","1.3%","5.5%","33.0%","25.4%","10.4%","16.5%","7.9%","93.2%","24.4%","17,907","91.6%","21.8%","15,924","96.4%","25.3%","41,285","95.6%","23.4%","19,879","87.0%","28.0%","","23.8%","10.0%","11.9%","5.9%","","38,771","15,814","32,192","38,043","50,422","60,693","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,170","5.9%","22.4%","62.1%","9.6%","95,957","1.6%","4.1%","30.0%","25.1%","13.1%","18.0%","8.1%","94.3%","26.0%","16,369","96.5%","32.1%","14,404","99.3%","30.5%","40,124","96.5%","26.9%","25,060","86.4%","18.1%","","27.1%","16.4%","14.0%","5.4%","","26,577","12,375","21,014","25,319","34,706","56,043","","(X)"
"Dunn, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,422","14.6%","29.2%","48.7%","7.6%","76,369","6.4%","8.4%","31.7%","26.1%","8.6%","13.0%","5.7%","85.1%","18.7%","17,781","87.4%","24.3%","17,258","87.3%","18.9%","28,243","88.2%","18.9%","13,087","72.7%","10.5%","","29.9%","15.3%","11.2%","5.8%","","31,686","18,696","26,036","31,148","47,302","56,355","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,950","15.9%","33.7%","41.5%","9.0%","37,469","7.6%","9.3%","31.9%","27.4%","6.3%","12.0%","5.6%","83.1%","17.5%","9,417","83.3%","22.5%","8,352","84.3%","15.3%","14,283","86.0%","16.5%","5,417","73.0%","15.0%","","31.1%","12.6%","9.0%","4.6%","","39,040","21,872","31,118","40,852","58,458","66,250","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,472","13.4%","25.1%","55.3%","6.3%","38,900","5.3%","7.6%","31.6%","24.9%","10.8%","14.0%","5.9%","87.1%","19.8%","8,364","91.9%","26.4%","8,906","90.1%","22.2%","13,960","90.4%","21.3%","7,670","72.5%","7.3%","","28.4%","17.9%","13.1%","6.8%","","25,273","14,491","20,753","21,961","37,445","49,533","","(X)"
"Durham-Chapel Hill, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","63,739","11.0%","19.6%","52.5%","17.0%","345,424","6.1%","6.2%","18.8%","18.0%","6.2%","23.5%","21.2%","87.7%","44.7%","79,524","85.6%","51.6%","71,250","86.7%","42.7%","130,241","91.7%","45.5%","64,409","83.3%","36.4%","","34.9%","15.9%","14.6%","5.0%","","35,232","16,376","23,525","30,392","42,165","58,779","","3.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","30,899","15.3%","20.9%","46.4%","17.4%","160,929","7.9%","6.9%","19.1%","18.6%","5.4%","22.0%","20.1%","85.2%","42.0%","37,711","81.8%","45.9%","35,193","84.3%","37.2%","60,571","88.9%","42.5%","27,454","82.7%","41.8%","","29.5%","13.8%","10.1%","4.6%","","37,854","19,087","27,131","34,603","47,411","78,317","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,840","6.9%","18.3%","58.3%","16.5%","184,495","4.5%","5.6%","18.4%","17.5%","7.0%","24.8%","22.2%","89.8%","47.0%","41,813","89.0%","56.8%","36,057","89.1%","48.1%","69,670","94.0%","48.2%","36,955","83.7%","32.4%","","41.4%","17.7%","18.3%","5.3%","","32,286","12,194","19,547","25,989","40,655","48,963","","(X)"
"East Liverpool-Salem, OH Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
