"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Danville, VA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,704","19.3%","25.8%","46.5%","8.4%","74,497","6.0%","10.4%","32.1%","27.5%","9.4%","9.1%","5.5%","83.6%","14.6%","10,911","91.7%","17.1%","12,581","92.8%","17.4%","30,288","85.2%","14.4%","20,717","71.5%","12.0%","","20.8%","16.8%","12.7%","3.2%","","31,688","18,599","27,165","31,333","41,466","50,251","","10.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,369","19.8%","28.0%","46.5%","5.6%","35,113","7.9%","9.8%","34.1%","26.7%","9.6%","7.8%","4.1%","82.3%","11.9%","5,576","91.6%","8.6%","6,305","93.3%","13.9%","14,458","83.5%","12.0%","8,774","66.5%","12.5%","","14.8%","17.0%","8.6%","2.3%","","37,573","26,071","35,404","40,368","47,209","73,098","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,335","18.7%","23.6%","46.6%","11.1%","39,384","4.3%","10.9%","30.3%","28.2%","9.3%","10.2%","6.8%","84.8%","17.0%","5,335","91.8%","26.0%","6,276","92.2%","20.9%","15,830","86.8%","16.5%","11,943","75.1%","11.6%","","26.8%","16.7%","16.3%","3.7%","","24,968","17,127","21,659","23,201","40,569","42,151","","(X)"
"Daphne-Fairhope-Foley, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,901","28.9%","33.6%","28.9%","8.6%","140,588","3.5%","7.5%","25.5%","23.4%","9.5%","20.0%","10.5%","89.0%","30.5%","23,464","83.1%","31.8%","24,656","92.4%","29.4%","54,686","93.7%","31.2%","37,782","83.5%","29.3%","","30.8%","12.9%","8.4%","5.2%","","30,863","12,921","26,402","25,606","47,233","53,211","","5.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,165","32.2%","39.0%","23.0%","5.7%","67,596","4.4%","8.1%","27.4%","23.0%","7.1%","19.9%","10.2%","87.5%","30.0%","11,910","77.6%","29.3%","12,561","89.4%","25.0%","25,350","94.3%","29.7%","17,775","83.0%","34.5%","","29.4%","10.3%","8.2%","2.5%","","36,862","16,300","29,419","28,565","71,217","85,179","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,736","25.0%","27.1%","35.9%","12.0%","72,992","2.7%","7.0%","23.8%","23.8%","11.8%","20.2%","10.8%","90.3%","30.9%","11,554","88.7%","34.4%","12,095","95.6%","34.0%","29,336","93.2%","32.6%","20,007","83.9%","24.6%","","32.3%","15.6%","8.6%","7.6%","","24,809","9,477","21,828","23,122","37,217","42,158","","(X)"
"Davenport-Moline-Rock Island, IA-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","32,466","12.3%","34.0%","45.1%","8.6%","261,650","2.4%","6.6%","31.3%","23.9%","10.1%","15.9%","9.8%","91.0%","25.7%","47,906","93.7%","32.1%","48,423","92.3%","33.1%","102,548","92.4%","23.4%","62,773","85.7%","19.0%","","19.7%","13.6%","10.3%","4.3%","","33,637","22,473","26,861","31,819","47,718","60,535","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,594","12.8%","41.9%","38.6%","6.7%","125,922","2.6%","6.8%","33.4%","23.7%","8.4%","16.0%","9.1%","90.6%","25.1%","23,525","93.2%","28.1%","24,603","90.6%","28.7%","50,359","91.7%","22.7%","27,435","86.3%","23.9%","","16.2%","10.8%","8.3%","3.3%","","42,197","30,664","31,979","41,821","58,361","75,382","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,872","11.7%","25.8%","51.9%","10.5%","135,728","2.2%","6.4%","29.4%","24.0%","11.6%","15.8%","10.5%","91.4%","26.3%","24,381","94.1%","35.9%","23,820","94.1%","37.6%","52,189","93.0%","24.2%","35,338","85.2%","15.1%","","23.2%","16.7%","12.0%","5.2%","","27,380","16,489","19,483","27,083","36,544","54,869","","(X)"
"Dayton, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","79,554","14.4%","29.2%","48.9%","7.5%","543,433","2.5%","7.4%","29.0%","23.8%","10.0%","16.1%","11.2%","90.1%","27.3%","102,438","92.9%","29.1%","92,578","90.1%","31.6%","216,290","91.9%","27.6%","132,127","85.0%","22.5%","","31.6%","15.3%","13.6%","4.0%","","34,151","18,140","26,698","31,088","48,952","67,666","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,561","16.0%","30.5%","47.3%","6.2%","257,304","2.8%","7.3%","29.2%","23.6%","8.6%","16.3%","12.2%","89.8%","28.5%","51,048","92.0%","28.1%","45,533","87.1%","26.0%","104,076","91.8%","28.8%","56,647","86.4%","30.2%","","29.6%","12.5%","10.1%","3.2%","","40,778","25,694","31,625","36,626","62,267","81,741","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,993","12.8%","27.9%","50.6%","8.8%","286,129","2.2%","7.4%","28.8%","24.1%","11.2%","16.0%","10.3%","90.3%","26.3%","51,390","93.8%","30.1%","47,045","93.1%","37.0%","112,214","91.9%","26.4%","75,480","83.9%","16.8%","","33.5%","17.9%","16.4%","4.9%","","28,545","12,903","21,012","26,227","40,216","58,172","","(X)"
"Decatur, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,688","17.0%","35.5%","42.4%","5.1%","104,803","6.7%","11.9%","33.8%","23.2%","7.4%","10.8%","6.1%","81.3%","16.9%","19,311","74.6%","12.9%","18,134","84.2%","20.8%","43,654","83.9%","16.7%","23,704","80.0%","17.6%","","29.6%","7.6%","10.6%","4.1%","","31,227","17,317","27,513","30,069","52,932","53,367","","5.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,137","15.6%","40.7%","40.5%","3.2%","50,724","8.3%","12.4%","33.6%","21.3%","5.9%","11.8%","6.7%","79.3%","18.5%","9,754","70.9%","10.1%","9,168","81.9%","22.1%","21,616","80.4%","16.5%","10,186","82.7%","27.7%","","28.6%","5.6%","6.0%","6.2%","","39,255","21,218","36,998","42,551","72,721","90,941","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,551","18.2%","30.7%","44.2%","6.9%","54,079","5.3%","11.5%","34.0%","25.0%","8.8%","9.9%","5.5%","83.2%","15.4%","9,557","78.3%","15.8%","8,966","86.5%","19.4%","22,038","87.3%","17.0%","13,518","77.9%","10.0%","","30.7%","9.4%","14.1%","1.7%","","23,210","12,731","21,264","22,898","40,796","48,268","","(X)"
"Decatur, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,850","7.7%","28.0%","58.7%","5.6%","73,369","2.2%","6.9%","34.6%","24.9%","7.2%","15.4%","8.8%","90.9%","24.2%","12,306","91.2%","28.6%","12,587","92.4%","30.9%","29,223","94.3%","23.5%","19,253","84.5%","18.1%","","22.2%","15.4%","10.2%","4.5%","","35,531","15,267","27,822","32,169","46,766","63,084","","4.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,050","7.0%","33.5%","53.6%","6.0%","34,608","2.2%","7.3%","34.1%","25.8%","6.8%","15.8%","8.0%","90.5%","23.8%","6,157","90.8%","23.3%","6,009","87.3%","23.6%","14,010","93.5%","24.0%","8,432","87.4%","24.0%","","18.1%","14.1%","7.5%","4.7%","","44,390","14,862","36,967","41,005","72,015","89,091","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,800","8.4%","23.2%","63.1%","5.3%","38,761","2.3%","6.5%","35.1%","24.1%","7.5%","15.0%","9.5%","91.2%","24.5%","6,149","91.6%","34.0%","6,578","97.0%","37.5%","15,213","95.0%","23.0%","10,821","82.3%","13.5%","","26.4%","16.5%","12.5%","4.4%","","28,578","15,941","18,264","28,303","35,198","58,735","","(X)"
"Deltona-Daytona Beach-Ormond Beach, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","51,512","18.1%","33.5%","41.7%","6.7%","448,298","3.4%","7.5%","35.1%","22.8%","8.9%","14.1%","8.1%","89.1%","22.2%","64,339","92.1%","21.9%","62,778","90.6%","22.8%","174,252","90.1%","21.2%","146,929","86.1%","23.2%","","24.0%","16.1%","12.1%","5.8%","","27,452","20,501","22,347","29,088","37,019","50,294","","9.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","27,227","19.4%","36.6%","39.9%","4.2%","212,880","4.0%","7.4%","35.2%","22.2%","8.7%","14.5%","8.0%","88.6%","22.5%","32,340","90.8%","18.0%","30,468","89.7%","20.6%","82,799","88.8%","19.1%","67,273","86.7%","29.7%","","22.3%","13.1%","10.9%","5.9%","","30,727","23,120","25,959","31,852","42,186","52,027","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,285","16.7%","30.0%","43.7%","9.6%","235,418","2.9%","7.5%","35.1%","23.4%","9.1%","13.8%","8.2%","89.6%","21.9%","31,999","93.4%","25.9%","32,310","91.4%","24.9%","91,453","91.2%","23.1%","79,656","85.5%","17.8%","","25.7%","18.9%","13.1%","5.7%","","25,834","14,604","18,086","25,953","34,191","47,214","","(X)"
"Denver-Aurora-Lakewood, CO Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","232,924","14.7%","29.6%","42.3%","13.4%","1,866,867","4.7%","5.5%","20.4%","21.2%","7.3%","25.9%","14.9%","89.7%","40.8%","438,229","89.7%","42.8%","400,329","89.7%","45.1%","706,631","90.7%","39.9%","321,678","87.6%","34.4%","","22.7%","10.8%","8.5%","3.8%","","41,598","23,838","31,295","37,831","52,407","67,703","","7.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","118,868","16.6%","31.6%","41.8%","10.0%","919,833","5.2%","5.9%","20.5%","21.1%","7.0%","26.0%","14.3%","88.9%","40.3%","223,044","87.6%","37.8%","204,015","89.2%","42.7%","349,420","89.6%","39.5%","143,354","88.7%","43.1%","","17.1%","9.7%","7.3%","3.8%","","47,265","26,753","34,739","42,682","65,263","81,691","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","114,056","12.8%","27.5%","42.9%","16.9%","947,034","4.3%","5.2%","20.4%","21.2%","7.7%","25.7%","15.5%","90.5%","41.2%","215,185","91.9%","47.9%","196,314","90.2%","47.7%","357,211","91.9%","40.4%","178,324","86.7%","27.4%","","29.1%","11.8%","9.7%","3.9%","","36,999","16,710","26,855","32,276","43,392","59,028","","(X)"
"Des Moines-West Des Moines, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","52,783","12.9%","33.0%","41.6%","12.5%","402,273","2.6%","4.6%","25.8%","20.2%","10.7%","24.9%","11.2%","92.8%","36.1%","91,095","93.7%","41.8%","83,440","92.9%","42.9%","153,506","93.6%","33.9%","74,232","89.7%","25.9%","","22.5%","13.4%","9.3%","3.3%","","41,328","26,209","29,764","36,859","55,942","65,728","","8.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,888","15.1%","36.8%","38.9%","9.1%","194,564","2.9%","5.3%","25.7%","20.2%","9.7%","25.0%","11.2%","91.8%","36.2%","45,216","92.4%","38.2%","41,763","91.1%","38.7%","75,157","93.0%","35.7%","32,428","89.1%","31.6%","","19.4%","11.6%","5.8%","3.0%","","48,001","29,328","38,247","45,588","67,264","71,211","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,895","10.8%","29.4%","44.1%","15.7%","207,709","2.4%","3.9%","25.9%","20.2%","11.7%","24.8%","11.1%","93.7%","35.9%","45,879","95.0%","45.3%","41,677","94.6%","47.0%","78,349","94.2%","32.3%","41,804","90.2%","21.4%","","26.4%","15.1%","12.4%","3.6%","","35,817","19,375","21,063","31,326","48,134","61,937","","(X)"
"Detroit-Warren-Dearborn, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","385,811","14.7%","30.7%","44.3%","10.4%","2,926,919","3.5%","7.4%","27.4%","23.5%","8.8%","17.5%","12.0%","89.1%","29.4%","524,382","91.1%","33.1%","542,781","90.7%","34.7%","1,227,214","90.6%","29.0%","632,542","83.2%","22.9%","","30.8%","16.2%","11.6%","4.5%","","37,274","19,590","26,798","32,361","54,272","71,662","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","195,612","17.9%","32.2%","40.2%","9.7%","1,386,724","3.4%","8.1%","27.3%","23.5%","7.7%","17.9%","12.1%","88.5%","30.0%","258,756","89.7%","30.3%","263,395","89.9%","32.0%","594,291","89.5%","29.5%","270,282","83.8%","28.8%","","27.6%","14.7%","9.6%","4.0%","","46,929","23,048","32,156","42,891","70,424","90,281","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","190,199","11.4%","29.2%","48.4%","11.0%","1,540,195","3.5%","6.8%","27.5%","23.5%","9.7%","17.1%","11.8%","89.6%","29.0%","265,626","92.5%","35.7%","279,386","91.4%","37.2%","632,923","91.6%","28.5%","362,260","82.8%","18.4%","","33.9%","17.5%","13.4%","4.9%","","30,191","14,536","21,000","26,436","41,992","58,632","","(X)"
"Dothan, AL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,428","20.6%","36.8%","37.7%","5.0%","101,308","5.5%","12.3%","34.8%","22.1%","8.0%","12.1%","5.2%","82.3%","17.3%","17,998","79.2%","15.1%","18,399","86.3%","23.3%","39,600","84.7%","17.9%","25,311","77.7%","13.6%","","28.2%","15.7%","14.8%","3.3%","","30,207","20,191","25,797","29,169","41,824","52,266","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,324","18.5%","47.1%","32.8%","1.6%","47,136","5.3%","12.1%","36.1%","22.9%","6.8%","11.5%","5.3%","82.6%","16.8%","8,608","79.7%","13.8%","8,625","84.4%","18.4%","18,859","84.0%","17.6%","11,044","81.2%","16.4%","","26.5%","10.7%","10.1%","3.1%","","35,183","23,007","27,719","40,520","52,352","62,446","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,104","22.7%","26.2%","42.7%","8.4%","54,172","5.6%","12.4%","33.7%","21.5%","9.0%","12.5%","5.2%","82.0%","17.8%","9,390","78.8%","16.3%","9,774","87.9%","27.6%","20,741","85.5%","18.1%","14,267","74.9%","11.5%","","29.7%","20.5%","18.7%","3.5%","","24,909","15,274","21,425","21,430","37,275","48,935","","(X)"
"Dover, DE Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,326","18.0%","23.4%","53.1%","5.6%","112,020","2.5%","9.4%","33.1%","21.9%","8.8%","15.4%","8.8%","88.1%","24.2%","21,948","88.1%","25.0%","19,885","95.0%","26.8%","43,600","88.1%","23.5%","26,587","82.7%","22.9%","","22.5%","10.8%","10.4%","4.6%","","36,228","22,206","31,578","35,140","44,183","60,262","","6.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,854","20.0%","32.0%","45.7%","2.4%","52,213","3.1%","11.3%","33.9%","22.0%","7.3%","13.2%","9.2%","85.6%","22.4%","10,949","85.0%","18.0%","9,009","94.3%","22.8%","20,535","85.3%","22.7%","11,720","80.0%","25.6%","","14.5%","9.6%","4.9%","2.1%","","40,608","27,472","36,062","40,533","49,421","65,420","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,472","15.9%","14.4%","60.7%","9.0%","59,807","2.0%","7.7%","32.5%","21.7%","10.2%","17.3%","8.5%","90.2%","25.8%","10,999","91.2%","32.0%","10,876","95.7%","30.1%","23,065","90.7%","24.2%","14,867","84.9%","20.8%","","32.8%","11.8%","14.7%","6.5%","","31,878","11,206","26,328","28,872","40,233","52,803","","(X)"
"DuBois, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,389","19.3%","37.6%","31.9%","11.2%","59,738","3.7%","10.4%","50.5%","15.0%","9.4%","7.8%","3.3%","85.9%","11.1%","9,480","92.3%","12.8%","10,853","87.4%","11.0%","24,065","87.0%","12.0%","15,340","79.1%","8.6%","","23.9%","16.8%","9.9%","2.1%","","27,096","15,465","23,447","29,861","43,779","43,879","","7.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,516","15.9%","47.7%","32.5%","3.8%","31,359","5.0%","11.0%","50.2%","14.9%","8.3%","8.1%","2.5%","84.0%","10.6%","5,644","89.7%","9.2%","6,254","85.7%","7.4%","12,658","83.7%","11.7%","6,803","78.2%","12.6%","","19.6%","14.9%","6.1%","3.3%","","31,525","19,500","30,172","36,230","54,065","35,970","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,873","23.5%","25.1%","31.2%","20.2%","28,379","2.4%","9.7%","50.8%","15.0%","10.5%","7.5%","4.2%","88.0%","11.6%","3,836","96.2%","18.1%","4,599","89.7%","16.0%","11,407","90.6%","12.3%","8,537","79.8%","5.5%","","28.5%","18.7%","13.2%","0.9%","","22,766","8,938","19,461","25,783","35,887","51,008","","(X)"
"Dubuque, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,374","5.3%","26.7%","54.0%","14.0%","64,705","2.2%","5.0%","35.9%","19.0%","9.1%","19.1%","9.7%","92.8%","28.8%","12,795","91.9%","40.5%","10,103","97.1%","42.1%","26,209","96.4%","22.1%","15,598","84.7%","21.7%","","28.3%","9.4%","8.7%","7.7%","","32,545","15,358","28,447","31,485","38,663","53,614","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,582","7.7%","30.2%","53.3%","8.7%","31,652","2.8%","5.5%","37.7%","19.1%","9.0%","18.1%","7.8%","91.7%","25.9%","6,626","89.2%","31.6%","5,116","96.9%","36.3%","13,127","95.7%","20.6%","6,783","82.3%","22.9%","","21.8%","7.2%","5.8%","6.1%","","39,007","17,853","35,257","43,263","49,922","57,140","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,792","2.9%","23.3%","54.6%","19.2%","33,053","1.6%","4.5%","34.1%","19.0%","9.2%","20.1%","11.5%","93.9%","31.5%","6,169","94.8%","50.1%","4,987","97.3%","48.0%","13,082","97.1%","23.7%","8,815","86.5%","20.9%","","37.4%","11.7%","11.4%","8.9%","","26,710","10,984","20,934","22,089","33,571","50,530","","(X)"
"Duluth, MN-WI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,232","8.9%","22.1%","59.4%","9.6%","192,404","1.3%","4.8%","31.6%","23.6%","12.2%","18.7%","7.8%","93.9%","26.6%","34,092","95.7%","30.1%","30,905","95.1%","31.8%","79,846","96.4%","25.1%","47,561","87.6%","23.0%","","25.9%","14.2%","12.2%","4.8%","","35,884","21,943","28,896","32,342","45,917","57,381","","5.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,285","10.5%","27.3%","54.7%","7.6%","95,440","1.3%","5.2%","33.1%","24.0%","11.3%","17.9%","7.3%","93.5%","25.2%","17,528","95.3%","24.5%","16,047","94.2%","24.0%","40,448","95.8%","24.9%","21,417","87.2%","27.0%","","23.1%","13.4%","11.5%","5.8%","","43,900","23,081","35,508","44,500","52,114","61,110","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,947","7.2%","16.6%","64.5%","11.7%","96,964","1.4%","4.3%","30.2%","23.2%","13.1%","19.5%","8.4%","94.3%","27.9%","16,564","96.2%","36.1%","14,858","96.1%","40.1%","39,398","97.0%","25.3%","26,144","88.0%","19.8%","","29.1%","15.1%","12.9%","3.9%","","29,345","16,150","22,338","25,371","37,779","54,263","","(X)"
"Dunn, NC Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,405","10.1%","44.6%","41.9%","3.3%","80,020","4.9%","11.4%","31.1%","22.9%","10.9%","11.9%","6.8%","83.6%","18.7%","19,666","81.3%","24.4%","17,789","84.9%","23.1%","28,896","87.9%","15.0%","13,669","76.3%","12.7%","","37.2%","14.7%","12.8%","5.6%","","31,348","15,971","27,670","31,997","36,439","56,415","","4.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,503","15.3%","50.9%","29.7%","4.1%","38,470","6.1%","13.8%","33.1%","21.2%","9.0%","10.0%","6.9%","80.2%","16.9%","9,802","75.9%","18.5%","8,821","82.1%","16.9%","14,070","84.3%","15.8%","5,777","74.4%","17.0%","","39.6%","10.7%","8.3%","2.5%","","36,706","16,401","34,095","39,936","50,446","87,979","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
