"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","27,747","12.2%","38.2%","45.0%","4.6%","171,443","1.2%","3.9%","25.3%","29.1%","11.3%","18.6%","10.6%","94.9%","29.2%","31,928","92.4%","25.5%","30,953","95.4%","26.4%","74,377","96.1%","31.2%","34,185","93.9%","30.9%","","24.4%","13.7%","7.7%","3.5%","","40,273","18,916","28,692","40,573","50,120","61,449","","2.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,175","15.0%","36.8%","45.7%","2.5%","84,921","1.2%","4.0%","24.2%","28.3%","11.6%","19.1%","11.6%","94.8%","30.7%","17,330","93.2%","24.2%","15,300","96.6%","24.0%","37,057","95.4%","31.5%","15,234","93.5%","42.9%","","19.9%","14.3%","7.0%","3.6%","","49,451","28,008","34,807","50,521","59,191","81,540","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,572","8.3%","40.1%","44.0%","7.5%","86,522","1.3%","3.8%","26.3%","29.8%","11.1%","18.2%","9.6%","94.9%","27.8%","14,598","91.5%","27.0%","15,653","94.2%","28.8%","37,320","96.9%","30.9%","18,951","94.3%","21.3%","","28.9%","13.2%","8.3%","3.4%","","30,581","17,787","22,662","31,439","40,384","48,121","","(X)"
"Bridgeport-Stamford-Norwalk, CT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","74,063","17.6%","31.8%","35.8%","14.8%","625,898","5.0%","6.1%","23.2%","15.8%","5.8%","25.9%","18.2%","88.9%","44.1%","107,850","89.1%","42.5%","128,447","91.3%","49.6%","262,375","91.0%","46.8%","127,226","81.9%","34.1%","","22.8%","9.8%","6.6%","3.2%","","46,752","22,171","32,259","40,848","65,889","86,478","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","38,018","22.0%","31.5%","33.5%","13.0%","297,355","5.4%","6.0%","23.6%","15.4%","4.3%","26.6%","18.7%","88.6%","45.3%","54,246","88.1%","38.4%","62,384","89.2%","45.7%","127,021","91.1%","48.4%","53,704","82.5%","44.5%","","15.6%","9.5%","6.8%","2.7%","","56,825","26,620","37,441","47,821","82,215","123,820","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","36,045","13.1%","32.1%","38.2%","16.6%","328,543","4.7%","6.2%","22.8%","16.2%","7.2%","25.3%","17.7%","89.1%","43.0%","53,604","90.1%","46.7%","66,063","93.4%","53.3%","135,354","90.8%","45.4%","73,522","81.4%","26.6%","","29.9%","10.1%","6.5%","3.7%","","37,442","16,515","24,524","35,079","48,619","66,306","","(X)"
"Brownsville-Harlingen, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","41,755","24.7%","29.2%","44.0%","2.1%","236,759","23.2%","12.1%","24.3%","19.9%","5.9%","10.8%","3.9%","64.7%","14.6%","52,348","81.2%","13.4%","52,760","70.8%","19.4%","85,133","61.4%","15.0%","46,518","45.1%","9.8%","","41.2%","26.3%","17.6%","10.0%","","22,945","13,981","22,006","25,562","42,656","57,125","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,066","26.9%","33.2%","39.3%","0.6%","109,049","20.9%","12.5%","24.6%","21.4%","5.0%","11.9%","3.7%","66.6%","15.6%","25,061","82.3%","13.3%","24,417","73.0%","18.3%","39,266","60.1%","16.0%","20,305","51.8%","14.3%","","38.8%","23.7%","15.8%","13.4%","","27,070","16,502","26,505","31,556","46,213","62,013","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,689","22.4%","25.2%","48.8%","3.6%","127,710","25.2%","11.7%","24.0%","18.6%","6.6%","9.8%","4.0%","63.0%","13.8%","27,287","80.2%","13.5%","28,343","68.8%","20.3%","45,867","62.5%","14.2%","26,213","39.8%","6.4%","","43.0%","28.6%","19.2%","6.8%","","19,060","11,047","17,986","21,114","40,693","56,371","","(X)"
"Brunswick, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,301","22.7%","37.7%","36.3%","3.3%","73,259","5.0%","12.9%","33.1%","24.6%","6.0%","12.0%","6.5%","82.1%","18.4%","11,163","81.6%","19.2%","13,037","83.1%","14.8%","31,135","86.0%","15.7%","17,924","75.1%","25.4%","","24.6%","17.9%","6.5%","3.7%","","30,093","16,969","30,188","27,244","50,771","42,004","","10.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,531","23.2%","42.9%","31.6%","2.3%","35,075","3.8%","13.6%","34.6%","24.5%","4.5%","11.9%","7.0%","82.6%","19.0%","5,369","84.1%","19.7%","6,504","77.7%","15.1%","15,374","86.8%","14.1%","7,828","77.4%","31.2%","","21.9%","14.3%","2.3%","1.1%","","37,030","24,349","36,430","34,444","60,959","52,447","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,770","22.3%","33.5%","40.0%","4.2%","38,184","6.1%","12.2%","31.7%","24.7%","7.3%","12.0%","5.9%","81.7%","18.0%","5,794","79.2%","18.6%","6,533","88.5%","14.4%","15,761","85.2%","17.3%","10,096","73.4%","20.9%","","27.0%","21.5%","10.1%","6.1%","","23,263","12,482","20,676","24,141","40,519","24,792","","(X)"
"Buffalo-Niagara Falls, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","116,366","11.9%","29.5%","46.2%","12.5%","777,039","3.3%","7.3%","30.0%","18.9%","11.4%","16.2%","12.9%","89.3%","29.0%","137,088","92.2%","38.1%","135,634","92.7%","33.8%","325,111","92.1%","28.8%","179,206","79.6%","18.8%","","27.6%","13.0%","11.0%","4.5%","","35,392","16,485","28,129","33,017","45,908","55,696","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,108","14.1%","33.2%","43.7%","9.0%","366,250","2.9%","7.4%","31.2%","19.4%","9.8%","16.9%","12.5%","89.8%","29.4%","68,477","91.8%","32.7%","66,428","91.8%","34.0%","157,810","91.9%","28.1%","73,535","81.3%","24.8%","","22.7%","11.7%","9.2%","3.8%","","41,987","20,481","33,879","40,338","55,508","65,073","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,258","9.6%","25.7%","48.8%","16.0%","410,789","3.8%","7.3%","29.0%","18.4%","12.9%","15.5%","13.2%","89.0%","28.7%","68,611","92.5%","43.6%","69,206","93.6%","33.7%","167,301","92.3%","29.4%","105,671","78.4%","14.7%","","31.5%","14.2%","12.5%","5.2%","","30,590","12,316","23,122","29,189","36,866","50,595","","(X)"
"Burlington, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,468","11.0%","28.3%","55.0%","5.6%","102,252","7.0%","12.9%","29.2%","22.7%","8.5%","13.8%","5.9%","80.0%","19.7%","18,087","71.9%","24.0%","21,125","78.7%","15.4%","40,460","84.7%","21.3%","22,580","79.5%","17.3%","","27.1%","12.7%","11.9%","3.6%","","29,981","18,979","25,834","31,809","46,200","52,093","","7.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,328","10.9%","34.3%","50.8%","4.0%","46,747","7.3%","14.1%","31.8%","20.3%","4.8%","13.6%","8.0%","78.6%","21.6%","8,128","68.4%","25.6%","10,437","78.0%","15.6%","19,019","82.3%","24.3%","9,163","80.5%","19.1%","","20.9%","14.1%","8.2%","2.9%","","33,329","25,225","27,325","35,535","55,198","52,202","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,140","11.1%","22.9%","58.8%","7.1%","55,505","6.8%","11.9%","27.0%","24.6%","11.6%","14.1%","4.0%","81.3%","18.1%","9,959","74.7%","22.7%","10,688","79.4%","15.2%","21,441","86.8%","18.6%","13,417","78.8%","16.1%","","33.1%","11.2%","14.0%","4.3%","","25,595","9,835","22,951","30,896","40,197","49,632","","(X)"
"Burlington-South Burlington, VT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,023","5.2%","12.9%","67.8%","14.1%","140,763","2.5%","3.9%","25.4%","17.6%","9.4%","25.9%","15.4%","93.7%","41.2%","27,116","95.8%","49.0%","28,173","93.6%","45.5%","60,020","95.2%","39.4%","25,454","87.7%","32.7%","","23.2%","9.8%","6.9%","2.9%","","37,735","26,432","26,696","38,420","40,945","53,535","","2.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,161","8.5%","16.2%","60.9%","14.4%","67,575","2.8%","5.1%","27.3%","17.6%","8.4%","24.0%","14.7%","92.1%","38.7%","13,360","94.2%","42.0%","13,939","91.4%","41.5%","29,391","93.7%","36.3%","10,885","86.0%","37.8%","","22.4%","7.3%","3.0%","2.5%","","41,438","31,221","30,952","44,282","50,031","65,213","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,862","2.0%","9.8%","74.3%","13.9%","73,188","2.1%","2.7%","23.7%","17.6%","10.3%","27.6%","16.0%","95.1%","43.6%","13,756","97.4%","55.7%","14,234","95.9%","49.5%","30,629","96.7%","42.3%","14,569","89.0%","28.9%","","24.5%","12.5%","10.2%","3.3%","","33,844","18,583","20,833","30,874","36,833","50,442","","(X)"
"Canton-Massillon, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,849","16.3%","30.0%","46.6%","7.0%","278,248","2.7%","8.1%","40.7%","20.5%","8.1%","13.8%","6.1%","89.2%","19.9%","45,185","91.4%","24.0%","48,929","91.9%","25.4%","117,567","91.7%","20.8%","66,567","81.4%","11.5%","","26.4%","12.7%","14.2%","3.4%","","30,218","15,418","25,338","28,227","45,130","62,447","","3.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,872","18.0%","36.3%","39.2%","6.5%","132,404","2.9%","8.3%","41.4%","21.0%","6.7%","13.3%","6.5%","88.8%","19.7%","22,247","91.2%","16.8%","24,324","91.1%","20.8%","57,314","90.6%","22.0%","28,519","81.4%","16.5%","","24.7%","11.4%","11.9%","3.6%","","37,126","17,849","32,817","36,514","54,673","70,397","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,977","14.7%","23.7%","54.0%","7.6%","145,844","2.5%","7.9%","40.0%","20.0%","9.4%","14.3%","5.7%","89.6%","20.1%","22,938","91.6%","31.0%","24,605","92.8%","29.9%","60,253","92.6%","19.6%","38,048","81.4%","7.8%","","28.1%","14.1%","16.1%","3.2%","","23,758","14,154","19,908","23,234","32,424","57,097","","(X)"
"Cape Coral-Fort Myers, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","48,803","19.3%","29.9%","45.0%","5.8%","460,240","5.0%","7.4%","34.6%","20.4%","7.5%","15.4%","9.6%","87.6%","25.0%","67,025","82.8%","20.3%","68,931","85.7%","24.9%","170,855","90.5%","24.8%","153,429","87.3%","27.3%","","25.8%","14.9%","8.8%","5.3%","","28,325","19,476","23,903","30,209","40,001","51,787","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,528","20.5%","36.2%","39.5%","3.8%","223,026","5.4%","8.5%","33.4%","18.8%","7.1%","16.0%","10.8%","86.1%","26.8%","34,418","77.9%","15.9%","34,377","84.5%","25.6%","81,093","89.6%","24.0%","73,138","86.9%","35.7%","","21.1%","16.2%","6.4%","5.3%","","31,172","20,899","28,395","32,917","42,029","56,490","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,275","18.0%","23.6%","50.7%","7.7%","237,214","4.6%","6.4%","35.8%","22.0%","8.0%","14.8%","8.5%","89.0%","23.3%","32,607","88.1%","24.9%","34,554","87.0%","24.2%","89,762","91.3%","25.6%","80,291","87.6%","19.7%","","31.4%","13.9%","10.8%","5.3%","","25,455","17,971","21,238","26,701","37,242","49,752","","(X)"
"Cape Girardeau-Jackson, MO-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,490","15.5%","29.1%","49.4%","6.0%","62,956","5.0%","11.4%","33.4%","23.9%","4.9%","14.4%","7.0%","83.6%","21.5%","12,629","89.0%","32.2%","10,577","88.3%","21.2%","25,512","85.2%","19.9%","14,238","72.5%","15.0%","","26.8%","13.9%","15.5%","4.1%","","29,808","14,810","25,528","28,978","36,663","46,197","","5.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,379","12.9%","33.3%","52.2%","1.7%","30,710","4.9%","10.8%","36.2%","22.4%","3.5%","14.9%","7.3%","84.3%","22.2%","6,532","89.3%","29.7%","5,449","87.8%","19.5%","12,477","86.7%","20.3%","6,252","71.4%","20.5%","","20.0%","11.8%","12.3%","5.1%","","34,771","17,105","28,806","36,680","51,028","56,289","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,111","17.4%","25.9%","47.3%","9.4%","32,246","5.1%","12.0%","30.6%","25.3%","6.1%","14.0%","6.8%","82.9%","20.8%","6,097","88.6%","34.9%","5,128","88.9%","23.0%","13,035","83.8%","19.6%","7,986","73.2%","10.7%","","33.0%","16.4%","18.1%","3.2%","","26,253","9,738","19,808","23,791","32,825","43,667","","(X)"
"Carson City, NV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,360","37.0%","20.0%","32.9%","10.2%","40,581","6.0%","7.5%","31.5%","25.9%","8.3%","12.3%","8.6%","86.4%","20.9%","7,991","85.5%","6.4%","7,611","82.1%","23.4%","16,051","89.2%","25.6%","8,928","86.1%","23.2%","","24.8%","12.8%","10.2%","4.3%","","30,113","14,119","22,230","32,444","53,520","56,347","","3.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,082","45.2%","11.1%","35.8%","7.9%","20,207","6.0%","8.7%","29.9%","24.6%","7.2%","15.9%","7.8%","85.3%","23.7%","4,134","83.7%","7.9%","4,133","76.2%","23.5%","7,951","92.2%","28.8%","3,989","83.0%","30.1%","","27.6%","19.1%","6.6%","7.0%","","29,965","13,689","25,301","37,607","56,494","94,410","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,278","23.6%","34.4%","28.2%","13.8%","20,374","6.1%","6.3%","33.1%","27.1%","9.3%","8.7%","9.4%","87.5%","18.1%","3,857","87.4%","4.7%","3,478","89.1%","23.2%","8,100","86.3%","22.5%","4,939","88.6%","17.6%","","22.1%","7.8%","13.1%","0.9%","","30,199","14,540","21,205","32,340","44,832","48,208","","(X)"
"Casper, WY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,673","16.4%","30.3%","48.2%","5.0%","51,202","3.5%","6.7%","27.0%","29.7%","11.4%","15.5%","6.2%","89.8%","21.6%","11,635","86.2%","23.7%","8,661","97.4%","25.9%","21,340","88.6%","21.9%","9,566","89.9%","14.7%","","20.3%","12.1%","6.6%","7.9%","","35,199","13,429","30,229","32,888","47,849","64,135","","2.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,737","18.6%","34.5%","40.5%","6.4%","25,862","4.6%","10.0%","29.3%","27.9%","8.5%","14.2%","5.5%","85.4%","19.7%","6,283","78.4%","10.3%","4,492","97.1%","22.4%","10,898","84.8%","22.4%","4,189","84.8%","23.6%","","14.5%","10.9%","5.0%","3.3%","","43,555","13,685","40,023","45,705","71,539","81,489","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,936","14.4%","26.3%","55.6%","3.7%","25,340","2.4%","3.4%","24.7%","31.5%","14.4%","16.8%","6.9%","94.3%","23.7%","5,352","95.4%","39.3%","4,169","97.7%","29.6%","10,442","92.5%","21.5%","5,377","93.8%","7.8%","","35.6%","13.5%","7.9%","11.8%","","26,136","9,112","24,546","26,131","27,368","61,114","","(X)"
"Cedar Rapids, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,114","12.7%","22.6%","54.0%","10.6%","173,263","2.1%","4.6%","29.6%","22.9%","12.2%","20.4%","8.1%","93.3%","28.5%","33,632","95.9%","35.9%","34,272","96.3%","33.3%","69,472","93.7%","28.1%","35,887","86.9%","17.7%","","17.1%","8.0%","8.2%","2.4%","","36,170","20,965","28,077","34,087","52,112","63,684","","3.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,060","16.3%","21.5%","51.5%","10.6%","85,018","2.0%","4.7%","30.7%","22.8%","11.7%","19.1%","8.9%","93.3%","28.1%","16,964","96.0%","28.6%","17,428","97.0%","28.8%","35,135","92.6%","29.7%","15,491","87.6%","23.0%","","17.3%","8.2%","8.1%","3.2%","","42,261","28,226","34,563","41,559","62,220","76,510","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,054","9.1%","23.8%","56.5%","10.7%","88,245","2.2%","4.6%","28.6%","23.0%","12.7%","21.7%","7.2%","93.2%","28.9%","16,668","95.9%","43.4%","16,844","95.6%","38.0%","34,337","94.9%","26.5%","20,396","86.4%","13.8%","","17.0%","7.9%","8.3%","1.7%","","31,115","15,459","20,810","29,273","45,893","56,808","","(X)"
"Centralia, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,531","23.4%","45.3%","27.7%","3.6%","52,012","4.5%","8.0%","32.9%","28.9%","10.7%","8.7%","6.3%","87.6%","15.0%","8,296","82.0%","5.9%","8,612","86.8%","12.5%","21,916","90.8%","17.5%","13,188","86.4%","18.3%","","17.7%","10.4%","9.0%","3.7%","","27,842","20,070","25,804","27,087","43,528","49,813","","4.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,363","26.2%","47.2%","23.5%","3.1%","25,712","5.9%","9.1%","35.2%","24.0%","9.4%","9.3%","7.1%","85.0%","16.4%","4,216","74.3%","3.2%","4,450","84.0%","12.7%","10,911","89.8%","17.0%","6,135","84.7%","27.1%","","17.7%","8.7%","3.8%","2.8%","","37,603","21,853","33,542","40,802","49,450","62,175","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,168","20.5%","43.3%","32.2%","4.0%","26,300","3.0%","6.9%","30.7%","33.7%","11.9%","8.1%","5.6%","90.1%","13.7%","4,080","89.9%","8.7%","4,162","89.7%","12.2%","11,005","91.7%","18.1%","7,053","87.8%","10.5%","","17.6%","12.3%","12.6%","4.6%","","19,904","17,023","17,299","20,269","34,141","39,605","","(X)"
"Chambersburg, PA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,288","22.9%","45.2%","26.5%","5.3%","103,864","5.2%","8.5%","46.3%","14.2%","8.2%","11.6%","5.9%","86.3%","17.5%","17,716","87.9%","17.8%","19,938","91.2%","19.5%","40,787","86.8%","17.4%","25,423","80.4%","16.1%","","22.6%","7.4%","6.5%","3.4%","","33,519","25,259","30,460","35,813","42,967","52,339","","3.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,511","32.5%","47.9%","17.0%","2.6%","50,060","5.6%","8.0%","48.2%","14.7%","7.1%","11.2%","5.3%","86.4%","16.5%","9,005","93.7%","13.2%","9,974","89.7%","10.9%","19,859","87.3%","16.6%","11,222","76.0%","23.7%","","14.3%","6.4%","5.9%","3.6%","","37,553","29,395","35,997","41,883","61,244","45,266","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,777","13.8%","42.6%","35.7%","7.9%","53,804","4.9%","9.0%","44.5%","13.9%","9.2%","12.0%","6.6%","86.1%","18.5%","8,711","82.0%","22.5%","9,964","92.7%","28.0%","20,928","86.3%","18.1%","14,201","83.8%","10.2%","","30.4%","8.4%","7.0%","3.2%","","27,899","14,688","24,089","29,265","33,481","56,502","","(X)"
"Champaign-Urbana, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","52,522","5.7%","15.1%","63.3%","15.9%","133,842","2.5%","4.2%","25.1%","21.0%","8.3%","19.7%","19.3%","93.4%","39.0%","32,917","95.6%","51.5%","25,137","95.4%","48.0%","50,038","94.6%","32.7%","25,750","86.1%","26.5%","","35.6%","10.1%","11.5%","9.9%","","32,945","15,549","27,515","32,332","40,211","48,453","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,050","5.5%","15.4%","62.1%","17.1%","64,298","2.8%","4.4%","24.8%","22.1%","7.8%","19.6%","18.6%","92.8%","38.2%","16,718","95.7%","47.8%","11,941","93.0%","45.2%","24,820","93.6%","30.7%","10,819","86.0%","32.5%","","30.9%","6.5%","12.0%","8.3%","","40,571","23,221","31,661","36,796","51,236","54,709","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,472","5.9%","14.8%","64.8%","14.5%","69,544","2.1%","3.9%","25.3%","19.9%","8.8%","19.9%","20.0%","93.9%","39.8%","16,199","95.5%","55.4%","13,196","97.6%","50.6%","25,218","95.7%","34.7%","14,931","86.1%","22.1%","","40.8%","13.4%","10.9%","11.3%","","29,283","8,722","25,439","29,833","31,174","41,741","","(X)"
"Charleston, WV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
