"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"        Estimate","17,860","13.1%","30.9%","50.8%","5.1%","146,126","3.1%","7.2%","39.3%","20.3%","8.9%","13.7%","7.5%","89.8%","21.2%","22,903","92.8%","30.6%","24,009","94.8%","29.9%","59,249","92.0%","20.8%","39,965","81.7%","11.1%","","27.1%","14.7%","14.5%","6.2%","","25,155","9,233","19,751","24,649","34,013","55,066","","(X)"
"Cape Coral-Fort Myers, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","48,980","15.0%","37.6%","41.0%","6.4%","486,827","5.5%","8.3%","31.1%","21.0%","8.0%","16.9%","9.2%","86.2%","26.2%","70,592","80.9%","21.2%","71,486","83.2%","22.9%","175,590","87.9%","26.0%","169,159","87.9%","29.8%","","28.6%","14.8%","10.6%","5.4%","","27,048","17,531","22,644","27,715","38,594","54,966","","7.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","25,026","20.8%","40.4%","35.0%","3.9%","234,824","5.7%","8.9%","30.9%","21.3%","6.0%","16.9%","10.1%","85.3%","27.0%","35,934","78.2%","16.9%","34,903","80.6%","16.8%","83,012","86.3%","25.1%","80,975","89.5%","37.9%","","26.2%","12.3%","8.9%","5.7%","","30,434","21,816","27,291","32,163","42,851","67,128","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,954","8.9%","34.6%","47.3%","9.1%","252,003","5.2%","7.8%","31.3%","20.6%","9.8%","16.9%","8.4%","87.1%","25.3%","34,658","83.7%","25.7%","36,583","85.7%","28.8%","92,578","89.4%","26.7%","88,184","86.5%","22.3%","","31.2%","17.1%","12.0%","5.1%","","24,276","14,678","20,127","25,130","35,808","50,632","","(X)"
"Cape Girardeau, MO-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,603","11.8%","20.7%","57.0%","10.5%","60,699","4.1%","10.1%","33.4%","22.6%","5.0%","16.4%","8.5%","85.9%","24.9%","11,739","90.9%","27.9%","10,288","89.0%","33.2%","23,605","86.7%","25.5%","15,067","78.6%","15.9%","","19.9%","14.5%","13.7%","2.4%","","31,075","25,509","26,166","27,777","41,405","43,721","","8.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,861","15.9%","26.8%","51.3%","6.1%","29,278","3.9%","10.1%","33.5%","22.5%","4.5%","17.8%","7.8%","86.1%","25.5%","5,701","91.2%","27.1%","5,157","83.9%","28.3%","11,821","87.6%","25.3%","6,599","80.5%","22.4%","","17.7%","13.5%","11.4%","3.4%","","37,189","37,118","31,146","31,424","49,362","44,554","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,742","8.2%","15.5%","62.0%","14.4%","31,421","4.2%","10.1%","33.2%","22.7%","5.5%","15.1%","9.2%","85.7%","24.3%","6,038","90.6%","28.6%","5,131","94.2%","38.1%","11,784","85.7%","25.7%","8,468","77.2%","10.9%","","21.9%","15.5%","15.8%","1.3%","","25,319","16,580","20,521","23,863","32,066","43,456","","(X)"
"Carbondale-Marion, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,804","8.5%","23.7%","58.1%","9.7%","81,650","3.5%","6.5%","26.8%","25.0%","10.7%","14.2%","13.3%","90.0%","27.5%","17,486","93.1%","27.7%","14,214","91.1%","34.5%","31,425","90.6%","26.9%","18,525","85.0%","23.0%","","40.1%","17.2%","14.2%","7.8%","","30,942","20,861","24,753","30,111","37,360","50,856","","4.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,862","9.4%","27.0%","54.0%","9.6%","40,422","4.0%","7.5%","26.0%","23.1%","10.0%","15.9%","13.5%","88.5%","29.5%","9,602","90.9%","28.3%","7,249","86.3%","34.5%","15,520","89.2%","27.8%","8,051","86.3%","29.4%","","39.4%","16.1%","8.4%","8.6%","","36,167","22,030","24,549","43,084","41,234","50,213","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,942","7.6%","20.5%","62.2%","9.8%","41,228","3.1%","5.5%","27.6%","26.9%","11.3%","12.6%","13.0%","91.4%","25.6%","7,884","95.7%","26.9%","6,965","96.1%","34.5%","15,905","92.0%","26.0%","10,474","84.1%","18.1%","","40.9%","18.2%","19.1%","6.9%","","27,310","14,009","25,192","22,198","32,494","52,143","","(X)"
"Carson City, NV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,913","11.0%","33.0%","47.4%","8.6%","38,203","4.9%","8.8%","27.8%","33.9%","5.7%","11.4%","7.5%","86.3%","18.8%","6,519","72.5%","21.4%","6,770","85.9%","14.3%","14,600","89.3%","18.8%","10,314","91.0%","20.3%","","25.4%","17.0%","13.2%","0.6%","","31,594","20,600","28,574","30,896","52,218","67,313","","5.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,475","14.3%","30.5%","48.5%","6.7%","19,758","8.2%","10.1%","23.5%","30.8%","6.3%","11.8%","9.3%","81.7%","21.1%","3,780","59.7%","19.7%","3,580","77.5%","15.0%","7,663","89.0%","20.0%","4,735","90.7%","28.6%","","33.3%","15.6%","10.8%","0.0%","","33,242","20,734","29,751","31,417","55,908","66,346","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,438","7.5%","35.6%","46.3%","10.6%","18,445","1.4%","7.4%","32.4%","37.2%","5.1%","11.0%","5.5%","91.2%","16.5%","2,739","90.1%","23.8%","3,190","95.3%","13.4%","6,937","89.7%","17.5%","5,579","91.2%","13.2%","","9.6%","18.0%","15.3%","1.4%","","30,290","19,087","25,456","30,031","32,062","80,125","","(X)"
"Casper, WY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,538","16.6%","32.7%","41.0%","9.6%","53,589","1.6%","5.3%","27.0%","32.3%","10.3%","15.8%","7.7%","93.1%","23.5%","12,324","92.3%","27.3%","10,429","93.8%","21.5%","20,875","96.5%","21.9%","9,961","86.1%","24.4%","","21.7%","10.9%","6.4%","1.7%","","38,908","26,634","29,990","36,887","55,420","60,085","","6.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,928","17.4%","34.0%","46.5%","2.1%","26,800","1.4%","5.7%","31.1%","31.1%","9.2%","15.7%","5.8%","92.9%","21.4%","6,216","89.9%","21.3%","5,438","91.8%","20.8%","10,622","96.8%","17.0%","4,524","89.1%","32.6%","","5.7%","10.5%","4.9%","0.5%","","45,647","31,048","40,737","43,965","72,250","63,210","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,610","15.8%","31.3%","35.1%","17.8%","26,789","1.8%","4.9%","22.9%","33.4%","11.4%","16.0%","9.7%","93.3%","25.7%","6,108","94.8%","33.3%","4,991","95.9%","22.3%","10,253","96.2%","27.1%","5,437","83.7%","17.5%","","39.8%","11.4%","7.6%","2.6%","","30,141","9,317","21,106","27,381","46,464","56,118","","(X)"
"Cedar Rapids, IA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,245","16.3%","24.8%","52.2%","6.7%","175,605","1.8%","4.7%","29.4%","23.3%","13.2%","18.3%","9.3%","93.5%","27.6%","35,050","95.1%","27.4%","33,855","96.2%","36.4%","69,136","93.8%","29.0%","37,564","89.0%","17.4%","","20.5%","10.0%","7.1%","2.6%","","38,675","26,080","29,024","36,356","50,395","66,436","","4.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,852","15.3%","31.6%","48.5%","4.5%","84,855","1.9%","4.9%","30.9%","24.2%","11.0%","17.6%","9.4%","93.2%","27.0%","17,631","93.6%","23.9%","16,507","94.3%","28.7%","34,339","94.6%","31.9%","16,378","88.7%","18.3%","","18.7%","7.8%","6.3%","3.6%","","47,135","31,950","38,170","45,353","66,830","83,219","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,393","17.3%","18.2%","55.7%","8.7%","90,750","1.6%","4.6%","27.9%","22.4%","15.3%","19.0%","9.3%","93.8%","28.2%","17,419","96.6%","31.0%","17,348","98.0%","43.6%","34,797","93.1%","26.2%","21,186","89.3%","16.6%","","22.3%","12.3%","7.8%","1.7%","","30,747","11,267","21,586","28,556","40,601","56,481","","(X)"
"Centralia, WA Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,768","20.6%","31.4%","45.9%","2.1%","52,704","3.6%","8.5%","35.0%","27.7%","12.9%","8.9%","3.5%","87.9%","12.3%","9,355","87.4%","9.4%","8,128","89.3%","10.0%","20,803","89.8%","16.1%","14,418","84.9%","10.0%","","23.8%","17.0%","13.8%","6.3%","","30,126","19,857","27,023","30,545","38,327","60,495","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,091","25.2%","37.3%","34.2%","3.3%","25,730","3.7%","11.4%","34.8%","25.5%","13.2%","7.9%","3.4%","84.9%","11.3%","4,797","89.2%","6.0%","4,121","83.4%","8.2%","10,260","86.0%","14.3%","6,552","80.9%","12.5%","","17.0%","16.1%","13.5%","7.4%","","32,479","27,983","31,702","33,149","40,850","60,960","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,677","15.2%","24.7%","59.3%","0.7%","26,974","3.5%","5.6%","35.2%","29.7%","12.7%","9.7%","3.5%","90.9%","13.3%","4,558","85.6%","13.0%","4,007","95.4%","11.9%","10,543","93.4%","17.9%","7,866","88.2%","7.9%","","34.8%","17.8%","14.0%","5.4%","","25,217","4,327","22,584","25,245","31,265","60,177","","(X)"
"Chambersburg-Waynesboro, PA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,720","21.0%","40.3%","33.2%","5.5%","104,821","4.1%","9.4%","43.1%","15.7%","8.5%","11.7%","7.4%","86.5%","19.1%","17,939","88.4%","23.2%","18,920","89.2%","19.8%","41,067","87.7%","19.4%","26,895","81.6%","15.4%","","28.4%","7.9%","6.6%","4.2%","","36,826","23,613","33,272","40,880","42,545","56,445","","5.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,043","24.2%","43.4%","29.6%","2.8%","50,184","4.3%","9.6%","44.6%","15.5%","6.8%","11.8%","7.3%","86.1%","19.2%","8,439","91.2%","20.4%","9,402","88.7%","18.8%","20,296","86.3%","18.6%","12,047","80.0%","19.5%","","23.4%","5.7%","5.3%","4.8%","","41,718","31,607","40,129","46,305","51,695","62,500","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,677","17.6%","37.0%","37.1%","8.3%","54,637","3.8%","9.3%","41.8%","16.0%","10.1%","11.6%","7.5%","86.9%","19.1%","9,500","86.0%","25.8%","9,518","89.6%","20.7%","20,771","89.0%","20.3%","14,848","82.9%","12.1%","","33.2%","10.2%","7.7%","3.7%","","29,335","7,389","22,693","32,078","40,377","53,658","","(X)"
"Champaign-Urbana, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,872","5.9%","16.3%","62.6%","15.1%","138,486","1.8%","3.8%","25.6%","21.6%","7.8%","22.4%","17.0%","94.4%","39.4%","33,569","96.3%","48.4%","26,499","93.2%","41.2%","50,586","95.8%","37.1%","27,832","90.6%","31.1%","","24.0%","15.2%","7.7%","9.0%","","35,088","17,167","25,172","31,336","40,605","55,642","","4.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,532","6.6%","18.1%","61.1%","14.2%","66,896","1.9%","4.1%","24.0%","23.8%","6.6%","21.9%","17.8%","94.0%","39.7%","17,421","95.8%","47.2%","12,879","92.5%","41.5%","24,268","95.7%","35.8%","12,328","90.0%","34.6%","","15.3%","13.7%","9.0%","7.3%","","40,880","22,256","30,287","37,916","46,234","75,491","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,340","5.2%","14.3%","64.4%","16.2%","71,590","1.7%","3.6%","27.0%","19.5%","9.0%","22.8%","16.4%","94.7%","39.2%","16,148","96.9%","49.6%","13,620","93.8%","40.8%","26,318","95.9%","38.3%","15,504","91.1%","28.3%","","33.9%","16.4%","6.5%","10.6%","","29,215","9,043","20,857","27,015","30,804","49,805","","(X)"
"Charleston, WV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,441","23.8%","29.2%","38.9%","8.0%","160,283","4.3%","7.7%","38.7%","19.7%","6.8%","14.2%","8.6%","88.0%","22.8%","27,422","89.9%","23.2%","27,964","92.2%","26.0%","65,624","90.1%","23.1%","39,273","80.0%","19.8%","","30.2%","12.9%","10.7%","2.1%","","34,603","21,250","29,055","30,481","47,070","62,117","","4.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,901","18.8%","33.7%","39.4%","8.2%","75,258","4.6%","8.2%","39.8%","19.0%","4.8%","13.8%","9.9%","87.2%","23.7%","13,299","90.7%","21.0%","13,747","92.1%","26.4%","31,366","88.2%","22.8%","16,846","78.6%","25.2%","","26.5%","13.0%","5.4%","2.4%","","42,292","25,338","35,382","39,370","62,128","70,240","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,540","29.1%","24.6%","38.4%","7.9%","85,025","4.0%","7.3%","37.8%","20.3%","8.5%","14.6%","7.5%","88.6%","22.0%","14,123","89.2%","25.2%","14,217","92.3%","25.5%","34,258","91.8%","23.3%","22,427","81.1%","15.8%","","33.8%","12.8%","14.5%","1.7%","","27,471","9,413","23,262","25,344","36,188","55,223","","(X)"
"Charleston-Mattoon, IL Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,948","9.6%","18.3%","66.1%","6.0%","39,964","1.9%","5.1%","35.0%","24.1%","11.6%","11.9%","10.4%","93.0%","22.3%","8,208","94.3%","18.6%","7,123","93.7%","20.9%","15,294","93.3%","23.1%","9,339","90.9%","25.2%","","30.9%","12.1%","13.3%","3.0%","","30,773","11,366","30,149","24,831","49,700","47,475","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,703","4.0%","23.4%","66.5%","6.2%","19,179","2.4%","6.1%","35.7%","22.6%","10.5%","13.6%","9.1%","91.6%","22.7%","4,145","91.0%","16.4%","3,696","95.9%","27.2%","7,382","90.8%","19.7%","3,956","89.5%","30.5%","","20.1%","13.3%","13.1%","4.6%","","36,326","11,650","37,806","30,165","61,421","53,871","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,245","14.7%","13.7%","65.7%","5.9%","20,785","1.5%","4.1%","34.4%","25.4%","12.7%","10.3%","11.6%","94.4%","21.9%","4,063","97.8%","20.9%","3,427","91.3%","14.2%","7,912","95.6%","26.2%","5,383","91.9%","21.2%","","46.5%","11.0%","13.5%","1.5%","","26,034","10,929","25,518","22,736","33,098","47,134","","(X)"
"Charleston-North Charleston, SC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","73,708","13.8%","27.1%","46.9%","12.2%","477,348","3.7%","6.4%","25.1%","22.5%","9.3%","20.8%","12.2%","89.9%","33.0%","111,663","90.0%","38.7%","90,630","92.3%","36.2%","184,455","90.6%","30.6%","90,600","86.0%","27.8%","","34.1%","14.0%","11.9%","5.7%","","34,603","18,337","26,502","31,159","45,022","57,106","","9.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","39,111","19.6%","30.9%","40.5%","9.0%","226,252","4.3%","7.7%","26.1%","21.7%","7.9%","20.0%","12.4%","88.0%","32.3%","54,391","88.0%","31.9%","44,883","89.3%","33.0%","86,739","87.3%","30.6%","40,239","87.8%","35.7%","","28.1%","11.8%","9.1%","5.2%","","40,729","20,360","31,415","38,670","60,447","68,387","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,597","7.2%","22.9%","54.2%","15.7%","251,096","3.2%","5.2%","24.2%","23.2%","10.6%","21.5%","12.1%","91.6%","33.6%","57,272","91.8%","45.1%","45,747","95.2%","39.3%","97,716","93.5%","30.5%","50,361","84.5%","21.4%","","41.3%","16.1%","14.1%","6.2%","","29,970","14,483","20,750","26,242","36,973","50,723","","(X)"
"Charlotte-Concord-Gastonia, NC-SC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","211,329","16.4%","28.5%","43.9%","11.2%","1,543,440","5.1%","8.0%","25.0%","21.8%","8.1%","21.9%","10.1%","86.9%","32.0%","315,110","87.7%","36.6%","343,260","88.3%","38.6%","604,498","89.0%","30.5%","280,572","79.7%","22.0%","","28.4%","14.9%","10.2%","4.0%","","35,523","20,225","26,752","32,000","49,159","61,432","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","106,971","18.5%","33.0%","39.6%","8.9%","731,868","5.8%","8.8%","25.3%","21.0%","7.3%","22.1%","9.8%","85.4%","31.9%","152,624","85.2%","32.5%","167,086","86.3%","35.2%","292,002","87.3%","31.1%","120,156","80.1%","28.6%","","23.6%","11.7%","7.6%","3.7%","","41,374","22,150","31,581","39,969","64,052","86,894","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","104,358","14.3%","24.0%","48.2%","13.6%","811,572","4.5%","7.3%","24.8%","22.5%","8.9%","21.6%","10.4%","88.2%","32.1%","162,486","90.2%","40.5%","176,174","90.2%","41.7%","312,496","90.7%","29.9%","160,416","79.3%","17.0%","","33.7%","17.8%","12.2%","4.2%","","30,517","16,142","21,675","27,197","38,918","50,985","","(X)"
"Charlottesville, VA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","29,383","8.1%","25.4%","55.4%","11.0%","149,642","4.5%","7.1%","24.8%","15.9%","5.5%","21.1%","21.1%","88.4%","42.2%","30,770","90.4%","49.6%","27,744","91.4%","42.8%","57,399","90.6%","42.0%","33,729","80.4%","35.4%","","26.9%","14.7%","8.9%","5.4%","","37,147","21,962","26,834","35,816","45,469","61,549","","5.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,797","10.2%","26.5%","54.8%","8.5%","71,405","5.7%","8.4%","25.7%","15.3%","3.8%","18.8%","22.4%","85.9%","41.2%","16,009","88.3%","46.4%","13,849","90.3%","37.2%","26,772","87.0%","40.0%","14,775","77.1%","41.4%","","25.6%","17.2%","6.2%","6.3%","","40,561","25,747","27,531","37,657","55,220","74,558","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,586","6.3%","24.5%","56.0%","13.2%","78,237","3.5%","5.8%","23.9%","16.5%","7.0%","23.3%","19.9%","90.7%","43.2%","14,761","92.7%","53.2%","13,895","92.5%","48.5%","30,627","93.7%","43.7%","18,954","83.0%","30.6%","","28.6%","12.3%","10.9%","4.6%","","34,732","17,825","26,350","33,823","40,784","55,186","","(X)"
"Chattanooga, TN-GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","49,600","15.2%","28.1%","50.0%","6.7%","372,846","4.8%","9.7%","30.2%","24.1%","7.5%","15.1%","8.6%","85.5%","23.7%","69,339","85.6%","25.3%","69,597","89.7%","26.8%","148,283","86.4%","23.2%","85,627","80.2%","20.6%","","29.3%","13.5%","10.1%","3.8%","","32,683","18,304","28,536","32,135","42,280","57,198","","6.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,675","16.9%","30.2%","47.1%","5.9%","176,016","4.6%","9.4%","32.1%","23.8%","6.1%","15.5%","8.4%","85.9%","24.0%","34,806","84.8%","24.4%","34,281","90.7%","24.1%","70,568","86.6%","23.5%","36,361","81.4%","24.3%","","28.4%","9.8%","7.4%","3.2%","","38,402","20,804","33,141","37,916","51,977","70,361","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","24,925","13.6%","26.0%","52.9%","7.4%","196,830","5.0%","10.0%","28.5%","24.3%","8.8%","14.6%","8.8%","85.0%","23.4%","34,533","86.4%","26.3%","35,316","88.7%","29.5%","77,715","86.3%","23.0%","49,266","79.4%","17.8%","","30.1%","17.2%","12.3%","4.3%","","27,697","14,571","23,818","26,995","36,333","48,650","","(X)"
"Cheyenne, WY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,131","16.2%","29.9%","50.0%","4.0%","63,961","0.9%","3.8%","24.2%","30.3%","12.7%","16.7%","11.5%","95.4%","28.2%","14,640","94.8%","28.4%","10,744","98.9%","27.4%","25,452","96.6%","29.7%","13,125","90.6%","26.0%","","12.5%","11.5%","7.6%","0.9%","","36,690","11,363","28,864","31,445","51,355","57,386","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
