"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Less than 9th grade","9th to 12th grade, no diploma","High school graduate (includes equivalency)","Some college, no degree","Associate's degree","Bachelor's degree","Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","High school graduate or higher","Bachelor's degree or higher","Population 35 to 44 years","High school graduate or higher","Bachelor's degree or higher","Population 45 to 64 years","High school graduate or higher","Bachelor's degree or higher","Population 65 years and over","High school graduate or higher","Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2010 INFLATION-ADJUSTED DOLLARS)!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","238,734","8.6%","24.4%","45.6%","21.3%","1,635,464","4.4%","4.8%","24.5%","15.6%","8.3%","23.9%","18.5%","90.8%","42.4%","315,740","94.0%","58.7%","323,201","94.2%","51.3%","648,502","92.3%","40.9%","348,021","81.8%","22.2%","","27.5%","12.1%","9.1%","4.3%","","37,670","17,003","25,522","32,210","46,446","59,537","","(X)"
"Boulder, CO Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","42,806","6.0%","15.9%","60.7%","17.4%","189,808","2.6%","3.3%","13.7%","17.3%","5.6%","33.0%","24.5%","94.1%","57.5%","38,507","92.4%","54.2%","41,578","92.4%","64.3%","80,247","96.4%","59.1%","29,476","92.3%","47.7%","","30.1%","12.2%","10.9%","5.2%","","38,266","15,463","26,941","33,001","42,401","64,041","","3.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","22,639","7.0%","15.2%","59.3%","18.5%","93,186","2.2%","3.8%","12.4%","17.9%","4.5%","31.8%","27.4%","94.0%","59.2%","20,403","91.5%","49.3%","20,792","91.7%","63.1%","39,164","96.0%","61.3%","12,827","95.5%","62.0%","","26.7%","13.4%","8.8%","4.3%","","45,660","17,543","29,599","39,611","55,625","82,163","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,167","4.9%","16.8%","62.2%","16.1%","96,622","3.1%","2.8%","15.0%","16.7%","6.6%","34.2%","21.7%","94.1%","55.9%","18,104","93.4%","59.8%","20,786","93.1%","65.6%","41,083","96.7%","57.1%","16,649","89.9%","36.7%","","33.4%","11.3%","12.7%","6.1%","","31,218","14,875","23,359","26,948","32,293","48,880","","(X)"
"Bowling Green, KY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,906","7.0%","30.2%","56.0%","6.8%","77,734","6.5%","7.5%","33.9%","20.3%","7.2%","14.8%","9.9%","86.0%","24.7%","17,251","90.6%","30.3%","15,243","88.8%","29.3%","30,246","88.2%","27.2%","14,994","73.2%","8.3%","","29.8%","13.3%","9.8%","3.8%","","29,246","15,156","21,546","29,816","37,639","51,819","","5.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,991","7.7%","37.8%","51.7%","2.7%","36,467","6.0%","7.9%","37.1%","22.0%","4.9%","13.7%","8.4%","86.1%","22.0%","8,278","89.3%","20.3%","7,150","93.3%","26.8%","14,668","88.9%","26.5%","6,371","67.1%","8.6%","","23.5%","11.5%","5.0%","5.0%","","36,210","14,731","30,405","35,477","52,500","71,826","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,915","6.1%","21.7%","60.8%","11.3%","41,267","7.0%","7.1%","30.9%","18.7%","9.2%","15.8%","11.2%","85.9%","27.0%","8,973","91.9%","39.4%","8,093","84.7%","31.4%","15,578","87.4%","28.0%","8,623","77.8%","8.1%","","35.3%","15.3%","13.8%","2.9%","","25,033","15,462","14,904","27,046","29,997","47,822","","(X)"
"Bozeman, MT Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,440","5.9%","15.5%","70.3%","8.3%","56,560","0.9%","2.9%","19.4%","27.1%","6.2%","28.2%","15.3%","96.2%","43.5%","15,959","98.1%","42.7%","11,154","98.1%","54.2%","21,559","97.4%","43.4%","7,888","86.2%","30.3%","","15.8%","5.2%","12.1%","8.0%","","29,114","12,361","28,071","22,425","30,725","54,265","","2.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,121","6.2%","14.8%","72.1%","6.9%","29,248","0.5%","3.6%","22.1%","25.1%","5.7%","26.4%","16.6%","95.9%","43.0%","8,503","97.9%","36.5%","6,328","97.0%","51.0%","10,816","98.1%","44.8%","3,601","83.1%","38.9%","","14.5%","2.9%","16.8%","8.3%","","36,267","20,931","30,888","30,084","40,366","75,810","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,319","5.6%","16.4%","68.0%","10.0%","27,312","1.3%","2.2%","16.5%","29.2%","6.7%","30.1%","13.9%","96.5%","44.1%","7,456","98.4%","49.8%","4,826","99.6%","58.4%","10,743","96.8%","42.0%","4,287","88.7%","23.2%","","17.4%","8.7%","7.8%","7.7%","","23,138","9,470","26,115","18,971","27,138","40,634","","(X)"
"Brainerd, MN Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,221","15.8%","34.5%","42.1%","7.6%","64,554","2.9%","6.7%","31.6%","28.3%","11.0%","13.5%","5.9%","90.4%","19.4%","10,239","92.3%","18.1%","9,678","93.9%","18.9%","26,946","92.5%","21.5%","17,691","84.0%","17.2%","","32.4%","9.6%","10.7%","1.7%","","26,987","11,233","24,280","25,973","40,793","57,626","","3.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,160","19.2%","46.5%","30.9%","3.4%","32,083","3.7%","6.4%","32.6%","28.2%","9.3%","13.7%","6.2%","89.9%","19.9%","5,242","93.7%","19.9%","4,882","95.5%","15.5%","13,615","91.0%","19.6%","8,344","82.3%","22.9%","","24.5%","9.0%","9.1%","1.5%","","32,482","11,801","30,213","33,992","52,049","60,381","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,061","12.3%","22.1%","53.7%","11.8%","32,471","2.2%","6.9%","30.7%","28.5%","12.7%","13.3%","5.7%","90.9%","18.9%","4,997","90.8%","16.3%","4,796","92.3%","22.2%","13,331","94.1%","23.6%","9,347","85.5%","12.1%","","41.2%","10.2%","12.2%","1.9%","","20,756","10,091","16,714","20,075","34,541","55,990","","(X)"
"Branson, MO Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,114","17.7%","33.0%","44.3%","5.0%","58,358","5.0%","11.8%","37.5%","25.1%","6.2%","9.8%","4.6%","83.2%","14.3%","8,701","86.9%","9.0%","8,589","85.3%","13.4%","24,829","83.5%","15.5%","16,239","79.7%","16.0%","","26.4%","20.3%","11.6%","4.5%","","19,923","16,287","15,980","21,661","31,112","55,278","","7.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,304","25.4%","34.4%","39.5%","0.7%","27,902","4.7%","13.3%","36.2%","23.2%","5.6%","11.4%","5.6%","82.0%","17.1%","4,108","89.9%","9.8%","4,095","76.3%","11.9%","11,871","80.7%","19.0%","7,828","82.9%","20.8%","","25.9%","17.2%","13.2%","7.5%","","24,693","17,375","23,436","24,441","30,601","95,212","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,810","11.0%","31.7%","48.5%","8.8%","30,456","5.4%","10.3%","38.7%","27.0%","6.8%","8.3%","3.5%","84.3%","11.8%","4,593","84.3%","8.2%","4,494","93.6%","14.8%","12,958","86.0%","12.3%","8,411","76.6%","11.4%","","27.0%","23.0%","10.2%","0.5%","","16,251","15,183","10,754","20,695","31,282","46,867","","(X)"
"Bremerton-Silverdale, WA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","26,643","16.7%","43.0%","35.6%","4.7%","168,564","1.8%","5.2%","24.0%","30.0%","10.4%","18.6%","10.1%","93.1%","28.7%","28,794","92.4%","21.2%","31,170","94.3%","27.9%","75,120","94.2%","32.4%","33,480","89.9%","27.4%","","28.9%","15.1%","7.3%","2.8%","","36,724","17,354","26,654","36,748","49,577","65,654","","2.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,539","15.2%","45.5%","35.0%","4.2%","82,763","1.1%","4.7%","22.9%","31.9%","10.5%","17.8%","11.2%","94.2%","29.0%","15,508","91.9%","17.1%","15,272","93.5%","25.7%","36,820","95.7%","32.2%","15,163","93.7%","36.4%","","20.5%","15.6%","4.5%","1.4%","","48,744","28,394","32,285","47,468","66,623","89,356","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,104","18.8%","39.5%","36.3%","5.4%","85,801","2.4%","5.6%","25.1%","28.2%","10.3%","19.3%","9.1%","92.0%","28.4%","13,286","93.1%","26.0%","15,898","95.1%","30.1%","38,300","92.8%","32.6%","18,317","86.8%","19.9%","","34.7%","14.8%","10.1%","4.2%","","27,406","15,084","21,550","29,198","33,763","51,314","","(X)"
"Bridgeport-Stamford-Norwalk, CT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","72,262","16.6%","25.9%","42.1%","15.4%","619,336","6.2%","6.0%","23.0%","15.3%","5.5%","24.8%","19.2%","87.9%","44.0%","106,641","85.5%","42.5%","131,113","90.5%","49.4%","257,124","91.0%","46.6%","124,458","80.7%","34.3%","","20.6%","11.5%","8.7%","3.0%","","45,377","21,493","30,014","38,878","64,063","81,764","","4.7%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","37,095","20.3%","27.6%","40.4%","11.6%","293,114","6.8%","6.0%","22.7%","13.8%","4.4%","25.4%","21.0%","87.2%","46.4%","53,355","81.5%","39.5%","63,409","89.1%","47.3%","124,147","91.0%","50.3%","52,203","81.7%","43.2%","","18.4%","11.2%","5.7%","2.1%","","55,432","22,581","36,053","45,756","82,091","109,727","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","35,167","12.7%","24.0%","43.8%","19.5%","326,222","5.6%","6.0%","23.4%","16.7%","6.6%","24.2%","17.6%","88.4%","41.8%","53,286","89.5%","45.5%","67,704","91.7%","51.3%","132,977","91.0%","43.0%","72,255","79.9%","28.0%","","22.8%","11.7%","10.8%","3.9%","","35,871","18,742","24,474","31,852","47,263","62,931","","(X)"
"Brownsville-Harlingen, TX Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","40,054","26.4%","31.0%","38.3%","4.3%","233,236","22.5%","14.4%","24.7%","18.4%","5.7%","10.3%","4.0%","63.0%","14.3%","51,598","73.0%","14.0%","51,660","69.2%","15.1%","84,869","61.5%","15.7%","45,109","47.4%","10.9%","","44.1%","24.9%","16.7%","7.5%","","20,350","12,371","19,900","22,325","42,141","52,035","","5.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","19,836","25.8%","32.1%","39.8%","2.3%","107,528","19.9%","16.2%","26.0%","17.2%","5.5%","9.7%","5.4%","63.8%","15.1%","24,346","67.5%","13.0%","24,010","73.3%","14.1%","39,445","61.9%","16.6%","19,727","51.8%","16.1%","","39.8%","23.2%","17.1%","6.5%","","22,891","15,570","22,332","31,248","44,709","55,036","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","20,218","27.1%","29.9%","36.7%","6.3%","125,708","24.8%","12.9%","23.5%","19.4%","5.9%","10.7%","2.8%","62.3%","13.5%","27,252","77.9%","15.0%","27,650","65.6%","16.0%","45,424","61.2%","15.0%","25,382","43.9%","6.9%","","47.7%","26.5%","16.4%","8.4%","","16,846","10,648","14,893","19,975","41,597","51,127","","(X)"
"Brunswick, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","9,530","22.1%","49.1%","25.4%","3.4%","73,558","5.8%","11.0%","34.1%","21.8%","6.7%","10.6%","10.0%","83.2%","20.6%","12,017","76.4%","15.3%","13,912","87.5%","22.1%","31,764","86.0%","20.6%","15,865","78.9%","23.5%","","33.7%","11.7%","9.4%","3.5%","","27,478","16,401","30,242","22,056","41,955","53,391","","9.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,911","28.5%","54.3%","14.8%","2.3%","34,162","5.5%","11.6%","37.7%","19.0%","4.6%","12.9%","8.6%","82.9%","21.5%","5,333","72.1%","12.6%","6,966","82.6%","21.5%","15,223","85.7%","17.5%","6,640","85.5%","37.7%","","23.9%","7.8%","5.5%","5.0%","","34,769","21,766","35,950","32,059","49,713","76,911","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,619","15.3%","43.5%","36.7%","4.5%","39,396","6.1%","10.5%","30.9%","24.2%","8.5%","8.6%","11.3%","83.4%","19.9%","6,684","79.8%","17.4%","6,946","92.4%","22.6%","16,541","86.3%","23.4%","9,225","74.3%","13.3%","","42.4%","15.7%","11.8%","2.1%","","20,937","11,749","20,918","17,493","35,313","50,070","","(X)"
"Buffalo-Niagara Falls, NY Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","117,177","12.3%","29.1%","44.3%","14.2%","773,793","3.2%","7.2%","31.2%","18.4%","11.8%","16.1%","12.2%","89.6%","28.3%","131,417","91.6%","39.9%","138,949","91.5%","30.4%","324,863","93.3%","28.3%","178,564","80.1%","18.0%","","27.8%","11.7%","10.7%","4.1%","","34,479","15,733","28,038","31,901","45,269","54,847","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","59,672","14.2%","33.6%","41.1%","11.1%","364,351","3.2%","7.9%","31.2%","18.5%","10.2%","16.9%","12.1%","88.9%","29.0%","65,700","90.3%","37.0%","67,834","89.8%","26.2%","157,895","91.8%","29.3%","72,922","80.3%","23.9%","","27.1%","10.8%","7.6%","3.2%","","40,997","19,936","34,721","40,021","52,310","62,943","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","57,505","10.5%","24.5%","47.6%","17.5%","409,442","3.1%","6.6%","31.2%","18.2%","13.3%","15.3%","12.3%","90.3%","27.6%","65,717","92.8%","42.7%","71,115","93.0%","34.4%","166,968","94.7%","27.4%","105,642","80.0%","13.9%","","28.5%","12.5%","13.2%","4.8%","","29,959","11,462","22,261","28,439","36,661","50,094","","(X)"
"Burlington, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,863","21.1%","26.7%","47.4%","4.8%","99,558","6.3%","12.3%","29.0%","22.2%","9.3%","15.6%","5.3%","81.4%","20.9%","16,534","70.1%","20.8%","20,995","86.8%","19.2%","40,629","86.2%","22.5%","21,400","75.9%","19.9%","","26.7%","12.3%","10.1%","1.5%","","28,893","15,780","22,521","31,054","42,021","51,925","","7.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,732","26.2%","23.0%","45.2%","5.6%","46,027","7.3%","13.2%","29.2%","20.9%","8.6%","16.0%","4.8%","79.5%","20.8%","7,242","75.0%","21.1%","10,318","79.5%","15.7%","20,007","84.1%","20.1%","8,460","72.7%","28.5%","","22.6%","9.5%","7.5%","2.4%","","31,438","19,795","28,039","37,280","47,444","56,419","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","8,131","16.3%","30.2%","49.5%","4.0%","53,531","5.4%","11.5%","28.9%","23.3%","9.8%","15.3%","5.7%","83.0%","21.0%","9,292","66.3%","20.5%","10,677","93.8%","22.5%","20,622","88.2%","24.8%","12,940","78.0%","14.3%","","31.0%","14.8%","12.1%","0.8%","","25,382","13,010","20,080","28,316","36,365","51,685","","(X)"
"Burlington-South Burlington, VT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,481","7.6%","24.7%","55.9%","11.8%","138,951","2.9%","5.4%","26.2%","16.0%","9.4%","25.2%","14.9%","91.7%","40.2%","27,008","93.8%","40.5%","27,999","94.5%","45.0%","59,051","94.1%","42.0%","24,893","80.7%","30.1%","","26.5%","12.3%","7.1%","3.3%","","36,697","17,387","27,370","36,169","42,911","62,428","","3.0%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,241","10.5%","27.6%","52.5%","9.4%","66,562","3.5%","7.1%","27.1%","14.0%","8.5%","24.9%","14.9%","89.4%","39.8%","13,293","89.4%","34.2%","13,759","91.8%","46.8%","28,791","92.5%","40.9%","10,719","78.0%","34.7%","","23.5%","11.8%","4.3%","4.0%","","42,615","17,125","31,187","45,668","52,116","80,966","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,240","4.8%","21.8%","59.3%","14.1%","72,389","2.3%","3.8%","25.3%","17.8%","10.3%","25.6%","15.0%","93.9%","40.5%","13,715","98.1%","46.6%","14,240","97.1%","43.2%","30,260","95.7%","43.1%","14,174","82.7%","26.7%","","31.3%","12.9%","9.1%","2.7%","","30,927","17,660","25,746","28,070","34,486","52,395","","(X)"
"Canton-Massillon, OH Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","34,353","14.4%","33.0%","45.1%","7.5%","278,079","2.7%","8.2%","40.5%","20.5%","8.2%","12.9%","6.9%","89.1%","19.8%","44,218","90.6%","21.7%","49,525","94.6%","23.0%","117,947","91.6%","21.1%","66,389","79.3%","13.8%","","26.8%","11.4%","10.0%","3.0%","","27,713","15,904","23,693","27,574","42,022","60,220","","3.5%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","17,767","17.4%","34.1%","43.6%","4.9%","132,182","2.5%","8.7%","39.2%","20.9%","7.0%","14.6%","7.1%","88.8%","21.7%","21,912","90.0%","21.9%","24,453","93.4%","21.3%","57,694","91.3%","23.0%","28,123","78.7%","19.1%","","23.3%","10.0%","5.7%","2.1%","","35,314","17,317","28,695","36,557","52,635","71,401","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,586","11.2%","31.9%","46.7%","10.2%","145,897","2.9%","7.7%","41.8%","20.2%","9.3%","11.3%","6.8%","89.3%","18.1%","22,306","91.3%","21.6%","25,072","95.8%","24.6%","60,253","92.0%","19.3%","38,266","79.8%","9.9%","","30.1%","12.6%","13.7%","4.0%","","22,467","14,655","18,871","22,375","35,385","51,100","","(X)"
"Cape Coral-Fort Myers, FL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","46,988","24.9%","30.8%","40.4%","3.8%","452,098","5.5%","8.6%","32.1%","22.4%","8.0%","14.8%","8.6%","86.0%","23.4%","66,073","78.8%","16.6%","70,161","85.3%","23.8%","169,768","88.4%","23.7%","146,096","86.7%","26.0%","","28.9%","15.8%","9.8%","5.9%","","26,766","15,200","22,580","30,067","40,084","53,446","","7.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,602","27.9%","33.0%","37.1%","2.0%","218,769","6.0%","9.6%","30.7%","20.6%","7.6%","16.1%","9.3%","84.3%","25.4%","33,734","76.4%","12.2%","35,768","85.8%","21.9%","79,795","86.0%","24.7%","69,472","85.6%","34.5%","","22.9%","15.1%","8.7%","4.0%","","29,909","16,144","26,368","35,287","43,077","74,889","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","23,386","22.0%","28.6%","43.8%","5.6%","233,329","5.0%","7.6%","33.4%","24.1%","8.4%","13.5%","8.1%","87.5%","21.5%","32,339","81.3%","21.3%","34,393","84.9%","25.7%","89,973","90.5%","22.8%","76,624","87.6%","18.3%","","36.0%","16.3%","10.7%","8.0%","","24,476","13,711","19,661","26,581","36,809","43,484","","(X)"
"Cape Girardeau-Jackson, MO-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,612","16.1%","30.0%","49.0%","4.8%","63,842","7.3%","10.3%","35.1%","18.2%","5.4%","15.9%","7.8%","82.4%","23.7%","12,913","85.0%","28.5%","11,168","87.8%","25.4%","25,034","89.3%","26.3%","14,727","64.5%","14.1%","","24.4%","13.9%","14.7%","3.7%","","28,533","16,806","22,151","25,947","39,182","51,801","","3.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,748","25.8%","33.0%","38.9%","2.3%","30,711","7.7%","11.5%","37.0%","17.0%","4.2%","14.8%","7.7%","80.8%","22.5%","6,673","82.9%","23.3%","5,494","85.4%","21.7%","12,267","88.0%","25.0%","6,277","60.3%","17.5%","","21.6%","11.5%","13.4%","2.5%","","32,236","16,705","29,464","30,365","47,602","54,576","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,864","6.6%","27.1%","59.0%","7.3%","33,131","6.8%","9.2%","33.2%","19.4%","6.5%","16.9%","8.0%","84.0%","24.9%","6,240","87.2%","34.0%","5,674","90.0%","28.9%","12,767","90.6%","27.5%","8,450","67.6%","11.6%","","27.5%","16.4%","15.7%","4.7%","","24,264","17,955","17,635","23,811","32,008","46,571","","(X)"
"Carson City, NV Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,278","19.1%","42.4%","34.8%","3.7%","37,913","2.8%","8.5%","30.1%","30.7%","7.1%","11.2%","9.5%","88.7%","20.8%","6,971","81.9%","17.3%","6,777","91.1%","15.7%","14,896","92.4%","26.1%","9,269","86.0%","18.4%","","23.2%","11.8%","12.8%","2.8%","","31,257","21,761","30,470","30,969","36,718","66,369","","4.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,753","28.3%","48.1%","23.6%","0.0%","19,316","2.3%","9.3%","31.0%","29.6%","5.4%","10.3%","12.2%","88.4%","22.4%","4,215","84.8%","18.7%","3,070","94.2%","11.7%","7,934","88.5%","31.5%","4,097","87.6%","16.8%","","23.5%","8.8%","14.9%","3.5%","","31,922","35,850","30,430","30,758","47,975","77,264","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
